date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,AL1403,12534.233459430488,12583.439943389709,12525.286825983358,12574.493309942578,12556.600043048316,12543.18009287762,5380.0,52126.0,0,13044.191565916954,12037.695303114719
2014-01-03,AL1403,12552.12672632475,12556.600043048316,12511.86687581266,12534.233459430488,12529.760142706922,12556.600043048316,5202.0,51242.0,0,13057.61151608765,12051.115253285416
2014-01-06,AL1403,12520.813509259791,12538.706776154053,12453.71375840631,12453.71375840631,12493.973608918399,12529.760142706922,7706.0,49150.0,0,13030.771615746256,12024.275352944023
2014-01-07,AL1403,12458.187075129876,12476.080342024137,12449.240441682743,12453.71375840631,12458.187075129876,12493.973608918399,4834.0,48892.0,0,12990.511765234167,11992.962135879065
2014-01-08,AL1403,12453.71375840631,12476.080342024137,12391.087324276392,12413.45390789422,12435.820491512048,12458.187075129876,4134.0,48702.0,0,12954.725231445644,11957.175602090541
2014-01-09,AL1404,12386.565560079287,12453.786429616619,12368.63999486933,12373.121386171819,12400.009733986753,12440.342255709153,9890.0,56486.0,0,12937.77669028542,11938.426429830397
2014-01-10,AL1404,12368.63999486933,12382.084168776797,12332.78886444942,12364.158603566842,12355.195820961864,12400.009733986753,10254.0,56888.0,0,12892.96277726053,11902.575299410486
2014-01-13,AL1404,12368.63999486933,12404.491125289242,12314.863299239463,12323.826081844441,12355.195820961864,12355.195820961864,9100.0,58612.0,0,12848.148864235642,11857.761386385597
2014-01-14,AL1404,12323.826081844441,12341.751647054398,12279.012168819552,12332.78886444942,12301.419125331997,12355.195820961864,12248.0,60910.0,0,12848.148864235642,11857.761386385597
2014-01-15,AL1404,12323.826081844441,12332.78886444942,12243.161038399641,12279.012168819552,12283.493560122042,12301.419125331997,13568.0,64212.0,0,12789.890777303286,11808.46608205822
2014-01-16,AL1404,12283.493560122042,12359.677212264352,12274.530777517064,12319.344690541953,12323.826081844441,12283.493560122042,13172.0,60902.0,0,12771.965212093332,11790.540516848265
2014-01-17,AL1404,12341.751647054398,12364.158603566842,12310.381907936975,12332.78886444942,12337.270255751908,12323.826081844441,7894.0,60814.0,0,12816.779125118219,11830.873038570664
2014-01-20,AL1404,12346.233038356886,12413.45390789422,12346.233038356886,12391.046951381775,12386.565560079287,12337.270255751908,12414.0,60802.0,0,12830.223299025687,11839.835821175642
2014-01-21,AL1404,12377.602777474309,12422.416690499198,12341.751647054398,12364.158603566842,12377.602777474309,12386.565560079287,11136.0,58748.0,0,12879.518603353064,11889.13112550302
2014-01-22,AL1404,12341.751647054398,12368.63999486933,12305.900516634487,12341.751647054398,12337.270255751908,12377.602777474309,8070.0,57760.0,0,12870.555820748086,11880.168342898041
2014-01-23,AL1404,12323.826081844441,12350.714429659376,12279.012168819552,12287.97495142453,12310.381907936975,12337.270255751908,7566.0,57740.0,0,12830.223299025687,11839.835821175642
2014-01-24,AL1404,12301.419125331997,12310.381907936975,12225.235473189687,12234.198255794665,12256.605212307108,12310.381907936975,10218.0,59992.0,0,12798.853559908264,11817.428864663198
2014-01-27,AL1404,12243.161038399641,12261.086603609598,12126.64486453493,12153.533212349865,12175.94016886231,12256.605212307108,15668.0,63788.0,0,12745.076864278397,11763.65216903333
2014-01-28,AL1404,12166.977386257331,12189.384342769776,12099.756516719997,12184.902951467286,12126.64486453493,12175.94016886231,9546.0,65194.0,0,12659.930429531109,11687.46851689102
2014-01-29,AL1404,12175.94016886231,12189.384342769776,12149.051821047375,12153.533212349865,12171.45877755982,12126.64486453493,7890.0,65932.0,0,12610.635125203731,11638.173212563643
2014-01-30,AL1404,12140.089038442398,12180.421560164797,12095.27512541751,12171.45877755982,12126.64486453493,12171.45877755982,10202.0,67012.0,0,12776.44660339582,11561.98956042133
2014-02-07,AL1404,12126.64486453493,12144.570429744886,11965.314777645332,11965.314777645332,12045.97982109013,12126.64486453493,13198.0,68510.0,0,12731.63269037093,11517.175647396441
2014-02-10,AL1404,11996.684516762753,12037.017038485154,11978.758951552798,11996.684516762753,11996.684516762753,12045.97982109013,13898.0,72484.0,0,12525.488690456441,11561.98956042133
2014-02-11,AL1404,11992.203125460264,12019.091473275197,11862.242777688087,11889.13112550302,11924.98225592293,11996.684516762753,21178.0,77276.0,0,12476.193386129064,11512.694256093953
2014-02-12,AL1404,11992.203125460264,11992.203125460264,11893.612516805508,11956.351995040353,11933.945038527909,11924.98225592293,19338.0,78572.0,0,12400.009733986753,11445.47338655662
2014-02-13,AL1404,11978.758951552798,11987.721734157776,11938.426429830397,11987.721734157776,11960.833386342842,11933.945038527909,15632.0,80376.0,0,12408.972516591732,11454.436169161598
2014-02-14,AL1404,11974.277560250308,12063.905386300086,11924.98225592293,12054.942603695108,12001.165908065243,11960.833386342842,17520.0,80498.0,0,12435.860864406664,11481.32451697653
2014-02-17,AL1404,12063.905386300086,12166.977386257331,12063.905386300086,12113.200690627464,12108.719299324976,12001.165908065243,22270.0,82666.0,0,12480.674777431554,11517.175647396441
2014-02-18,AL1404,12099.756516719997,12113.200690627464,11996.684516762753,12010.128690670219,12050.46121239262,12108.719299324976,13110.0,84866.0,0,12592.709559993775,11620.247647353686
2014-02-19,AL1404,12028.054255880175,12095.27512541751,12023.572864577687,12050.46121239262,12050.46121239262,12050.46121239262,12126.0,84648.0,0,12529.970081758931,11566.47095172382
2014-02-20,AL1404,12059.423994997598,12077.349560207553,12005.64729936773,12023.572864577687,12032.535647182664,12050.46121239262,11128.0,81908.0,0,12529.970081758931,11566.47095172382
2014-02-21,AL1404,12019.091473275197,12063.905386300086,12014.610081972709,12032.535647182664,12041.498429787642,12032.535647182664,8272.0,82372.0,0,12512.044516548975,11548.545386513864
2014-02-24,AL1404,12054.942603695108,12095.27512541751,11929.46364722542,11956.351995040353,11992.203125460264,12041.498429787642,13532.0,79682.0,0,12521.007299153953,11557.508169118842
2014-02-25,AL1404,11947.389212435375,12001.165908065243,11893.612516805508,11893.612516805508,11933.945038527909,11992.203125460264,9216.0,79790.0,0,12471.711994826575,11508.212864791465
2014-02-26,AL1404,11889.13112550302,11947.389212435375,11862.242777688087,11942.907821132887,11916.019473317952,11933.945038527909,7970.0,78924.0,0,12408.972516591732,11454.436169161598
2014-02-27,AL1405,11956.301736446307,11987.554205510954,11929.513905819467,11933.978544257274,11956.301736446307,11920.584628943854,15592.0,90708.0,0,12393.836303351361,11442.868316098538
2014-02-28,AL1405,11929.513905819467,11956.301736446307,11902.726075192626,11920.584628943854,11920.584628943854,11956.301736446307,12186.0,92684.0,0,12434.018049291622,11474.120785163184
2014-03-03,AL1405,11929.513905819467,11929.513905819467,11791.11011424746,11817.8979448743,11849.150413938947,11920.584628943854,21424.0,95214.0,0,12393.836303351361,11442.868316098538
2014-03-04,AL1405,11795.574752685267,11844.68577550114,11764.322283620619,11844.68577550114,11804.50402956088,11849.150413938947,15576.0,95212.0,0,12322.402088346455,11371.434101093631
2014-03-05,AL1405,11844.68577550114,11911.65535206824,11826.827221749912,11871.47360612798,11871.47360612798,11804.50402956088,19536.0,97180.0,0,12273.291065530582,11331.25235515337
