date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,-0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,-0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,-0.0,1.0
2014-01-13,0.0,0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,0.0,1.0
2014-01-16,0.0,0.0,1.0
2014-01-17,0.0,-0.0,1.0
2014-01-20,0.0,-0.0,1.0
2014-01-21,0.0,-0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,0.0,1.0
2014-01-27,0.0,0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,-0.0,1.0
2014-01-30,0.0,0.0,1.0
2014-02-07,0.0,0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,-0.0,1.0
2014-02-14,0.0,0.0,1.0
2014-02-17,0.0,-0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,-0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,0.0,1.0
2014-03-03,0.0,-0.0,1.0
2014-03-04,0.0,-0.0,1.0
2014-03-05,0.0,-0.0,1.0
2014-03-06,0.0,-0.0,1.0
2014-03-07,0.0,-0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,0.0,1.0
2014-03-12,0.0,-0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,-0.0,1.0
2014-03-19,0.0,0.0,1.0
2014-03-20,0.0,0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,-0.0,1.0
2014-03-25,0.0,0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,-0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,0.0,1.0
2014-04-03,0.0,-0.0,1.0
2014-04-04,0.0,0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,0.0,1.0
2014-04-17,0.0,-0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,-0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,-0.0,1.0
2014-04-30,0.0,0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,0.0,1.0
2014-05-09,0.0,0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,-0.0,1.0
2014-05-15,0.0,-0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,-0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,-0.0,1.0
2014-05-22,0.0,0.0,1.0
2014-05-23,0.0,0.0,1.0
2014-05-26,0.0,-0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,-0.0,1.0
2014-05-30,0.0,-0.0,1.0
2014-06-03,0.0,0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,-0.0,1.0
2014-06-10,0.0,0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,-0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,-0.0,1.0
2014-06-18,0.0,0.0,1.0
2014-06-19,0.0,-0.0,1.0
2014-06-20,0.0,-0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,-0.0,1.0
2014-06-25,0.0,0.0,1.0
2014-06-26,0.0,0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,-0.0,1.0
2014-07-01,0.0,-0.0,1.0
2014-07-02,0.0,0.0,1.0
2014-07-03,0.0,0.0,1.0
2014-07-04,0.0,-0.0,1.0
2014-07-07,0.0,-0.0,1.0
2014-07-08,0.0,0.0,1.0
2014-07-09,0.0,0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,-0.0,1.0
2014-07-14,0.0,-0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,0.0,1.0
2014-07-17,0.0,-0.0,1.0
2014-07-18,0.0,-0.0,1.0
2014-07-21,0.0,-0.0,1.0
2014-07-22,0.0,0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,0.0,1.0
2014-07-28,0.0,-0.0,1.0
2014-07-29,0.0,0.0,1.0
2014-07-30,-1.0,0.0,1.0
2014-07-31,-1.0,-0.0001,0.9999
2014-08-01,-1.0,0.005300353356890497,1.0051998233215549
2014-08-04,-1.0,0.01243339253996445,1.0176978673060146
2014-08-05,-1.0,-0.01888489208633093,0.9984787529054514
2014-08-06,-1.0,0.003530450132391838,1.002003832350837
2014-08-07,-1.0,-0.0008857395925598865,1.001116317884627
2014-08-08,-1.0,-0.008849557522123908,0.99225688144317
2014-08-11,-1.0,0.0035087719298245723,0.9957384845359532
2014-08-12,-1.0,0.0035211267605633756,0.9992446059603757
2014-08-13,-1.0,0.010600706713780883,1.0098373049634892
2014-08-14,-1.0,0.0035714285714285587,1.0134438667669303
2014-08-15,-1.0,0.025985663082437327,1.0397788776416983
2014-08-18,-1.0,-0.01839926402943881,1.0206477115397352
2014-08-19,-1.0,0.009033423667569984,1.0298676547334094
2014-08-20,-1.0,-0.008204193254329972,1.021418421467593
2014-08-21,-1.0,0.009945750452079571,1.0315771941946668
2014-08-22,-1.0,-0.00273972602739736,1.028750955306462
2014-08-25,-1.0,-0.005464480874316946,1.0231293653867546
2014-08-26,-1.0,-0.009057971014492683,1.0138618892510052
2014-08-27,-1.0,-0.008078994614003632,1.0056709045084027
2014-08-28,-1.0,0.012466607301869992,1.0182082087498254
2014-08-29,-1.0,0.0054102795311090635,1.0237169997800317
2014-09-01,-1.0,-0.0036264732547597323,1.0200045174598866
2014-09-02,-1.0,0.013550135501354976,1.0338257168834624
2014-09-03,-1.0,-0.019230769230769162,1.013944453097242
2014-09-04,-1.0,0.017969451931716063,1.0321644792086029
2014-09-05,-1.0,-0.0018298261665141702,1.0302757976364005
2014-09-09,-1.0,0.01187214611872145,1.0425073824485223
2014-09-10,-1.0,0.01756007393715342,1.0608138891643464
2014-09-11,-1.0,-0.008466603951081897,1.051832398098985
2014-09-12,-1.0,0.004664179104477584,1.0567383327916107
2014-09-15,-1.0,-0.006560449859418949,1.0498056539448053
2014-09-16,-1.0,-0.016759776536312776,1.0322111457781327
2014-09-17,-1.0,0.009157509157509125,1.041663628798079
2014-09-18,-1.0,-0.009242144177449063,1.0320364233563224
