symbol,strategy_mode,param_label,signal_price_col,trade_price_col,return_mode,period,start,end,n_days,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
CU,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,-0.0035137828425612083,0.14601151093649473,-0.024065108428947563,0.34518124156946106,-0.010179530111731542,0.49029126213592233,1.0498962316871594,0.9651968614263502
CU,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.02937181803026112,0.16760720242097557,0.17524198009396116,0.20058488374191663,0.14643086499006822,0.4854368932038835,1.1178815300471328,1.0579035838802844
AL,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.007076557613360013,0.14756163587751941,0.047956622134724555,0.4200552731565297,0.01684672962246804,0.4951923076923077,1.0455019327731079,1.0735426697048185
AL,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.10835799014662961,0.1423177315966498,-0.7613808127137153,0.2569806661726818,-0.42165814168221094,0.48883374689826303,0.8993248614248844,0.8001073085979966
ZN,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.09870651653854368,0.1792664781627225,0.5506133525362532,0.2534220378951756,0.3894946049615946,0.4915167095115681,1.1648371632496224,2.5787703441986847
ZN,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.06292114206529675,0.14283013330810296,-0.44053128431636873,0.19926576707175614,-0.3157649353922326,0.4837837837837838,0.9895713825438371,0.8812929001951425
NI,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2015-03-27,2024-06-06,2237,0.03775669706778051,0.24056458168557676,0.1569503573769199,0.3896558676051255,0.09689754526176642,0.48778833107191316,1.11614601234414,1.3895682907347122
NI,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.05501244733567556,0.1952412569408433,-0.28176650876788784,0.2618402587449481,-0.2100992704458858,0.5039787798408488,0.9446930528963283,0.8958130676374545
TA,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.05121799481203526,0.20155846022614238,0.2541098734063073,0.3776623805937517,0.13561847153405,0.49241540256709454,1.1111239692777668,1.65312306497435
TA,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.03208729389317777,0.2077493157427496,0.15445198352860331,0.3015105146896879,0.10642180729982748,0.4856396866840731,1.114889279070969,1.0633367870609727
RU,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.043961078177130464,0.2255563238941717,0.19490066790482216,0.47280109072999743,0.09298006929141228,0.48759305210918114,1.1300785231824186,1.541804744026528
