symbol,strategy_mode,param_label,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
RB,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.1509077765711988,0.1969976919355349,0.7660382976496066,0.4021312314412485,0.37526997351173524,0.5052281368821293,1.1638542695993104,8.910773298083278,5.407178957085673,0.686384666226041
ZN,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.07075827903755472,0.17390615544663665,0.4068762192794665,0.2534220378951756,0.27921123050404506,0.490280777537797,1.1411233587480407,8.244547257105088,2.2726519955760818,0.7554527428949108
TA,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.0480962710741637,0.2025392916121978,0.23746637351854513,0.3776623805937517,0.1273525602379244,0.4911778731521221,1.1119858784228451,8.660938532716457,1.7578265685262127,0.6860541969596827
J,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.03282868844369746,0.2592644006960011,0.12662243005814958,0.5726824995324431,0.0573244135633617,0.4992272024729521,1.0606596032343925,10.659616655651025,1.4738417247611617,0.6288830138797092
RU,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.020414184363960697,0.22000577537166355,0.09278931123273601,0.47280109072999743,0.04317710928382487,0.486815415821501,1.1058072430880888,8.744216787838731,1.274639867053755,0.6463978849966953
NI,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.020440926155087524,0.2330517548023751,0.08770981438187911,0.3896558676051255,0.052458920433355864,0.49108589951377635,1.0840450630391,10.072607260726073,1.244793433214798,0.6618995232856619
V,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.01349884650457911,0.1825835676554032,0.07393242819121591,0.4170128064666866,0.03237034041940742,0.49714285714285716,1.0469239965764132,7.911434236615994,1.174695543842091,0.6962987442167878
CU,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,0.0017391948664713386,0.14969252372823816,0.011618448424510429,0.35956812968854124,0.004836899388101591,0.4894086496028244,1.06173458384113,8.077990746860541,1.0210852188529391,0.7409120951751487
AL,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,-0.012582243779344138,0.1467296778138943,-0.08575118521900472,0.4200552731565297,-0.029953781284053734,0.4940659340659341,1.0213625159815451,8.077990746860541,0.8589493361226296,0.7518175809649703
JM,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,-0.04144010874873871,0.27100087205087753,-0.15291503837286094,0.6872878384893633,-0.06029512880632771,0.4886693782684486,1.0412386229751849,11.24256444150694,0.6015685963993819,0.55783212161269
I,fixed,"S=20, L=120, D=40, H=rs_fast",20,120,40,rs_fast,close,open,open_to_open,-0.0971334929126666,0.2647634121883663,-0.3668690175497543,0.8100112084745822,-0.11991623312915503,0.46809651474530833,1.0737047467917644,11.74223397224058,0.2931772843171282,0.6054196959682749
