date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,RU1405,18195.0,18265.0,18010.0,18135.0,18135.0,18205.0,354254.0,214686.0,64257551100.0,19115.0,17290.0
2014-01-03,RU1405,18000.0,18020.0,17605.0,17625.0,17780.0,18135.0,422786.0,225800.0,75177872600.0,19040.0,17225.0
2014-01-06,RU1405,17575.0,17630.0,17235.0,17245.0,17485.0,17780.0,439186.0,226854.0,76791957600.0,18665.0,16890.0
2014-01-07,RU1405,17240.0,17275.0,16710.0,16815.0,17005.0,17485.0,626044.0,230146.0,106469023100.0,18355.0,16610.0
2014-01-08,RU1405,16810.0,16920.0,16680.0,16735.0,16780.0,17005.0,446668.0,223728.0,74971941900.0,17855.0,16150.0
2014-01-09,RU1405,16690.0,17135.0,16660.0,16855.0,16915.0,16780.0,553446.0,212692.0,93638728200.0,17615.0,15940.0
2014-01-10,RU1405,16820.0,17030.0,16720.0,16920.0,16855.0,16915.0,437596.0,208304.0,73773341000.0,17760.0,16065.0
2014-01-13,RU1405,17040.0,17050.0,16325.0,16340.0,16615.0,16855.0,530984.0,229552.0,88224127800.0,17695.0,16010.0
2014-01-14,RU1405,16325.0,16815.0,16235.0,16750.0,16515.0,16615.0,590184.0,211122.0,97493993200.0,17445.0,15780.0
2014-01-15,RU1405,16720.0,16840.0,16520.0,16675.0,16665.0,16515.0,539538.0,209488.0,89927241700.0,17340.0,15685.0
2014-01-16,RU1405,16750.0,16950.0,16680.0,16755.0,16810.0,16665.0,528038.0,206216.0,88769117800.0,17495.0,15830.0
2014-01-17,RU1405,16700.0,16715.0,16450.0,16630.0,16550.0,16810.0,448570.0,203248.0,74242535200.0,17650.0,15965.0
2014-01-20,RU1405,16510.0,16935.0,16505.0,16830.0,16815.0,16550.0,459778.0,200824.0,77325018100.0,17375.0,15720.0
2014-01-21,RU1405,16835.0,16840.0,16350.0,16425.0,16545.0,16815.0,493972.0,221712.0,81747604300.0,17655.0,15970.0
2014-01-22,RU1405,16370.0,16735.0,16305.0,16590.0,16555.0,16545.0,566314.0,203058.0,93761024700.0,17370.0,15715.0
2014-01-23,RU1405,16590.0,16740.0,16400.0,16560.0,16555.0,16555.0,533002.0,201226.0,88258190200.0,17380.0,15725.0
2014-01-24,RU1405,16415.0,16665.0,16365.0,16570.0,16515.0,16555.0,519560.0,204516.0,85809185800.0,17380.0,15725.0
2014-01-27,RU1405,16380.0,16475.0,15930.0,15950.0,16100.0,16515.0,527686.0,226188.0,84970534700.0,17340.0,15685.0
2014-01-28,RU1405,15920.0,16035.0,15555.0,15610.0,15790.0,16100.0,485924.0,226094.0,76745513800.0,16905.0,15295.0
2014-01-29,RU1405,15690.0,15780.0,15585.0,15635.0,15665.0,15790.0,414048.0,216908.0,64879495600.0,16575.0,15000.0
2014-01-30,RU1405,15620.0,15655.0,15320.0,15480.0,15455.0,15665.0,389136.0,206918.0,60160295100.0,16760.0,14565.0
2014-02-07,RU1405,15375.0,15790.0,15285.0,15390.0,15425.0,15455.0,364196.0,217108.0,56178437100.0,16535.0,14370.0
2014-02-10,RU1405,15490.0,15975.0,15470.0,15880.0,15750.0,15425.0,539634.0,205538.0,85011327900.0,16195.0,14650.0
2014-02-11,RU1405,15855.0,15890.0,15735.0,15805.0,15805.0,15750.0,356072.0,200328.0,56290521600.0,16535.0,14960.0
2014-02-12,RU1405,15880.0,15910.0,15580.0,15755.0,15710.0,15805.0,521414.0,214394.0,81914739700.0,16595.0,15010.0
2014-02-13,RU1405,15770.0,15795.0,15550.0,15590.0,15705.0,15710.0,364488.0,211330.0,57254066300.0,16495.0,14920.0
2014-02-14,RU1405,15605.0,15690.0,15535.0,15620.0,15615.0,15705.0,390240.0,204414.0,60947601600.0,16490.0,14915.0
2014-02-17,RU1405,15700.0,16395.0,15695.0,16360.0,16165.0,15615.0,598168.0,192474.0,96712136700.0,16395.0,14830.0
2014-02-18,RU1405,16395.0,16410.0,16025.0,16140.0,16175.0,16165.0,486424.0,187914.0,78683359400.0,16970.0,15355.0
2014-02-19,RU1405,16225.0,16355.0,16100.0,16190.0,16200.0,16175.0,480120.0,189692.0,77800633200.0,16980.0,15365.0
2014-02-20,RU1405,16155.0,16275.0,15535.0,15570.0,15810.0,16200.0,633766.0,196846.0,100221487600.0,17010.0,15390.0
2014-02-21,RU1405,15640.0,15680.0,15480.0,15560.0,15585.0,15810.0,400782.0,193162.0,62467751700.0,16600.0,15015.0
2014-02-24,RU1405,15500.0,15530.0,14805.0,14805.0,15005.0,15585.0,253844.0,195632.0,38097324500.0,16360.0,14805.0
2014-02-25,RU1405,14795.0,14885.0,14535.0,14590.0,14710.0,15005.0,488162.0,187750.0,71824026100.0,16205.0,13800.0
2014-02-26,RU1405,14510.0,14780.0,14505.0,14690.0,14655.0,14710.0,427400.0,180968.0,62651046700.0,15445.0,13970.0
2014-02-27,RU1405,14610.0,14650.0,14210.0,14330.0,14410.0,14655.0,350236.0,181412.0,50471425100.0,15385.0,13920.0
2014-02-28,RU1405,14405.0,14795.0,14375.0,14500.0,14580.0,14410.0,443158.0,161910.0,64629701400.0,15130.0,13685.0
2014-03-03,RU1409,14980.0,15175.0,14815.0,14835.0,14945.0,15040.0,589802.0,209956.0,88170471600.0,15790.0,14285.0
2014-03-04,RU1409,14975.0,15000.0,14470.0,14695.0,14675.0,14945.0,654724.0,218304.0,96111156300.0,15690.0,14195.0
2014-03-05,RU1409,14875.0,15335.0,14830.0,15195.0,15105.0,14675.0,845150.0,216652.0,127675597700.0,15405.0,13940.0
2014-03-06,RU1409,15050.0,15240.0,14910.0,15175.0,15070.0,15105.0,713000.0,222218.0,107478932200.0,15860.0,14345.0
2014-03-07,RU1409,15240.0,15500.0,14850.0,14985.0,15135.0,15070.0,886234.0,231318.0,134155762300.0,15820.0,14315.0
2014-03-10,RU1409,14400.0,14680.0,14375.0,14465.0,14495.0,15135.0,571660.0,212230.0,82863033500.0,15890.0,14375.0
2014-03-11,RU1409,14595.0,15215.0,14560.0,15215.0,14920.0,14495.0,667976.0,214328.0,99680833800.0,15215.0,13770.0
2014-03-12,RU1409,15020.0,15880.0,14950.0,15765.0,15540.0,14920.0,1134928.0,218372.0,176393956300.0,16110.0,13725.0
2014-03-13,RU1409,15815.0,15860.0,15610.0,15840.0,15725.0,15540.0,666038.0,221866.0,104747184600.0,16315.0,14760.0
2014-03-14,RU1409,15735.0,15850.0,15355.0,15740.0,15610.0,15725.0,847018.0,223916.0,132227632400.0,16510.0,14935.0
2014-03-17,RU1409,15675.0,15785.0,14910.0,14985.0,15300.0,15610.0,923268.0,228872.0,141265905900.0,16390.0,14825.0
2014-03-18,RU1409,15015.0,15195.0,14875.0,14915.0,15050.0,15300.0,834860.0,224518.0,125671055900.0,16065.0,14535.0
2014-03-19,RU1409,15020.0,15450.0,14960.0,15260.0,15210.0,15050.0,1019314.0,228102.0,155059347600.0,15800.0,14295.0
2014-03-20,RU1409,15455.0,15495.0,15065.0,15175.0,15230.0,15210.0,846500.0,222506.0,128939441400.0,15970.0,14445.0
2014-03-21,RU1409,15150.0,15260.0,14830.0,15030.0,15035.0,15230.0,842978.0,221618.0,126753839300.0,15990.0,14465.0
2014-03-24,RU1409,14950.0,15280.0,14605.0,15220.0,14935.0,15035.0,809610.0,237322.0,120940123000.0,15785.0,14280.0
2014-03-25,RU1409,15215.0,15680.0,15135.0,15510.0,15410.0,14935.0,915924.0,231912.0,141188447000.0,15680.0,14185.0
2014-03-26,RU1409,15520.0,15690.0,15410.0,15520.0,15550.0,15410.0,689174.0,241670.0,107167624500.0,16180.0,14635.0
