date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,AL1403,14010.0,14065.0,14000.0,14055.0,14035.0,14020.0,5380.0,52126.0,377648450.0,14580.0,13455.0
2014-01-03,AL1403,14030.0,14035.0,13985.0,14010.0,14005.0,14035.0,5202.0,51242.0,364348400.0,14595.0,13470.0
2014-01-06,AL1403,13995.0,14015.0,13920.0,13920.0,13965.0,14005.0,7706.0,49150.0,538243300.0,14565.0,13440.0
2014-01-07,AL1403,13925.0,13945.0,13915.0,13920.0,13925.0,13965.0,4834.0,48892.0,336581350.0,14520.0,13405.0
2014-01-08,AL1403,13920.0,13945.0,13850.0,13875.0,13900.0,13925.0,4134.0,48702.0,287390050.0,14480.0,13365.0
2014-01-09,AL1404,13820.0,13895.0,13800.0,13805.0,13835.0,13880.0,9890.0,56486.0,684275150.0,14435.0,13320.0
2014-01-10,AL1404,13800.0,13815.0,13760.0,13795.0,13785.0,13835.0,10254.0,56888.0,706872050.0,14385.0,13280.0
2014-01-13,AL1404,13800.0,13840.0,13740.0,13750.0,13785.0,13785.0,9100.0,58612.0,627282350.0,14335.0,13230.0
2014-01-14,AL1404,13750.0,13770.0,13700.0,13760.0,13725.0,13785.0,12248.0,60910.0,840712900.0,14335.0,13230.0
2014-01-15,AL1404,13750.0,13760.0,13660.0,13700.0,13705.0,13725.0,13568.0,64212.0,929999400.0,14270.0,13175.0
2014-01-16,AL1404,13705.0,13790.0,13695.0,13745.0,13750.0,13705.0,13172.0,60902.0,905898400.0,14250.0,13155.0
2014-01-17,AL1404,13770.0,13795.0,13735.0,13760.0,13765.0,13750.0,7894.0,60814.0,543322350.0,14300.0,13200.0
2014-01-20,AL1404,13775.0,13850.0,13775.0,13825.0,13820.0,13765.0,12414.0,60802.0,857835600.0,14315.0,13210.0
2014-01-21,AL1404,13810.0,13860.0,13770.0,13795.0,13810.0,13820.0,11136.0,58748.0,769191600.0,14370.0,13265.0
2014-01-22,AL1404,13770.0,13800.0,13730.0,13770.0,13765.0,13810.0,8070.0,57760.0,555581700.0,14360.0,13255.0
2014-01-23,AL1404,13750.0,13780.0,13700.0,13710.0,13735.0,13765.0,7566.0,57740.0,519652150.0,14315.0,13210.0
2014-01-24,AL1404,13725.0,13735.0,13640.0,13650.0,13675.0,13735.0,10218.0,59992.0,698853100.0,14280.0,13185.0
2014-01-27,AL1404,13660.0,13680.0,13530.0,13560.0,13585.0,13675.0,15668.0,63788.0,1064441800.0,14220.0,13125.0
2014-01-28,AL1404,13575.0,13600.0,13500.0,13595.0,13530.0,13585.0,9546.0,65194.0,645820100.0,14125.0,13040.0
2014-01-29,AL1404,13585.0,13600.0,13555.0,13560.0,13580.0,13530.0,7890.0,65932.0,535759450.0,14070.0,12985.0
2014-01-30,AL1404,13545.0,13590.0,13495.0,13580.0,13530.0,13580.0,10202.0,67012.0,690396050.0,14255.0,12900.0
2014-02-07,AL1404,13530.0,13550.0,13350.0,13350.0,13440.0,13530.0,13198.0,68510.0,886958550.0,14205.0,12850.0
2014-02-10,AL1404,13385.0,13430.0,13365.0,13385.0,13385.0,13440.0,13898.0,72484.0,930364550.0,13975.0,12900.0
2014-02-11,AL1404,13380.0,13410.0,13235.0,13265.0,13305.0,13385.0,21178.0,77276.0,1409225450.0,13920.0,12845.0
2014-02-12,AL1404,13380.0,13380.0,13270.0,13340.0,13315.0,13305.0,19338.0,78572.0,1287539450.0,13835.0,12770.0
2014-02-13,AL1404,13365.0,13375.0,13320.0,13375.0,13345.0,13315.0,15632.0,80376.0,1043415700.0,13845.0,12780.0
2014-02-14,AL1404,13360.0,13460.0,13305.0,13450.0,13390.0,13345.0,17520.0,80498.0,1173195700.0,13875.0,12810.0
2014-02-17,AL1404,13460.0,13575.0,13460.0,13515.0,13510.0,13390.0,22270.0,82666.0,1504469700.0,13925.0,12850.0
2014-02-18,AL1404,13500.0,13515.0,13385.0,13400.0,13445.0,13510.0,13110.0,84866.0,881352900.0,14050.0,12965.0
2014-02-19,AL1404,13420.0,13495.0,13415.0,13445.0,13445.0,13445.0,12126.0,84648.0,815434650.0,13980.0,12905.0
2014-02-20,AL1404,13455.0,13475.0,13395.0,13415.0,13425.0,13445.0,11128.0,81908.0,747168450.0,13980.0,12905.0
2014-02-21,AL1404,13410.0,13460.0,13405.0,13425.0,13435.0,13425.0,8272.0,82372.0,555785400.0,13960.0,12885.0
2014-02-24,AL1404,13450.0,13495.0,13310.0,13340.0,13380.0,13435.0,13532.0,79682.0,905489000.0,13970.0,12895.0
2014-02-25,AL1404,13330.0,13390.0,13270.0,13270.0,13315.0,13380.0,9216.0,79790.0,613714750.0,13915.0,12840.0
