date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,CU1403,52290.0,52770.0,52220.0,52670.0,52540.0,52280.0,203778.0,240224.0,53538138800.0,54890.0,49660.0
2014-01-03,CU1403,52500.0,52500.0,51840.0,51920.0,52140.0,52540.0,299664.0,232074.0,78136977300.0,55160.0,49910.0
2014-01-06,CU1403,51900.0,52080.0,51670.0,51770.0,51890.0,52140.0,243308.0,220868.0,63135613400.0,54740.0,49530.0
2014-01-07,CU1403,51630.0,52050.0,51590.0,51860.0,51860.0,51890.0,236246.0,218972.0,61258736400.0,54480.0,49290.0
2014-01-08,CU1403,51940.0,52170.0,51680.0,52060.0,51950.0,51860.0,201596.0,214880.0,52374352300.0,54450.0,49260.0
2014-01-09,CU1403,52000.0,52160.0,51210.0,51220.0,51660.0,51950.0,362562.0,237872.0,93654521000.0,54540.0,49350.0
2014-01-10,CU1403,51220.0,51480.0,50930.0,51360.0,51210.0,51660.0,302684.0,212788.0,77512421100.0,54240.0,49070.0
2014-01-13,CU1403,51360.0,52190.0,51330.0,51690.0,51760.0,51210.0,268470.0,199382.0,69483940600.0,53770.0,48640.0
2014-01-14,CU1403,51500.0,51900.0,51310.0,51790.0,51670.0,51760.0,176916.0,191316.0,45707410400.0,54340.0,49170.0
2014-01-15,CU1403,51820.0,51860.0,51290.0,51450.0,51560.0,51670.0,171238.0,175490.0,44148325400.0,54250.0,49080.0
2014-01-16,CU1404,51500.0,52130.0,51350.0,51720.0,51780.0,51470.0,276056.0,223792.0,71479534100.0,54040.0,48890.0
2014-01-17,CU1404,51640.0,51870.0,51570.0,51810.0,51710.0,51780.0,197644.0,218514.0,51109296700.0,54360.0,49190.0
2014-01-20,CU1404,52010.0,52060.0,51700.0,51800.0,51830.0,51710.0,159914.0,221470.0,41444988600.0,54290.0,49120.0
2014-01-21,CU1404,51630.0,51800.0,51470.0,51630.0,51650.0,51830.0,184248.0,239906.0,47590483600.0,54420.0,49230.0
2014-01-22,CU1404,51490.0,51880.0,51340.0,51630.0,51660.0,51650.0,240992.0,240488.0,62255232000.0,54230.0,49060.0
2014-01-23,CU1404,51500.0,51660.0,51250.0,51410.0,51450.0,51660.0,223702.0,248850.0,57556725700.0,54240.0,49070.0
2014-01-24,CU1404,51350.0,51650.0,50990.0,51270.0,51280.0,51450.0,289202.0,248748.0,74154615000.0,54020.0,48870.0
2014-01-27,CU1404,51190.0,51310.0,50840.0,50980.0,51030.0,51280.0,272706.0,254464.0,69582156500.0,53840.0,48710.0
2014-01-28,CU1404,51030.0,51080.0,50840.0,51000.0,50960.0,51030.0,163264.0,245352.0,41603018100.0,53580.0,48470.0
2014-01-29,CU1404,51100.0,51140.0,50860.0,51060.0,51000.0,50960.0,119612.0,231832.0,30501934100.0,53500.0,48410.0
2014-01-30,CU1404,51010.0,51480.0,50580.0,50950.0,50880.0,51000.0,183950.0,216646.0,46800831000.0,54570.0,47430.0
2014-02-07,CU1404,51010.0,51120.0,50880.0,51030.0,51000.0,50880.0,87162.0,214270.0,22229398400.0,54440.0,47310.0
2014-02-10,CU1404,50990.0,51100.0,50880.0,51070.0,50980.0,51000.0,135482.0,211636.0,34536019400.0,53550.0,48450.0
2014-02-11,CU1404,51000.0,51030.0,50310.0,50390.0,50580.0,50980.0,192284.0,221406.0,48635717200.0,53520.0,48430.0
2014-02-12,CU1404,50520.0,50730.0,50320.0,50650.0,50530.0,50580.0,155922.0,213778.0,39398174000.0,53100.0,48050.0
2014-02-13,CU1404,50660.0,50760.0,50550.0,50620.0,50650.0,50530.0,103238.0,209958.0,26146760100.0,53050.0,48000.0
2014-02-14,CU1404,50520.0,50790.0,50390.0,50670.0,50600.0,50650.0,128518.0,202332.0,32518961700.0,53180.0,48110.0
2014-02-17,CU1404,50770.0,51260.0,50720.0,51070.0,51000.0,50600.0,194282.0,182842.0,49542119100.0,53130.0,48070.0
2014-02-18,CU1404,50980.0,51040.0,50620.0,50700.0,50850.0,51000.0,97382.0,176500.0,24761280400.0,53550.0,48450.0
2014-02-19,CU1404,50820.0,50980.0,50730.0,50740.0,50830.0,50850.0,67942.0,174300.0,17270431300.0,53390.0,48300.0
2014-02-20,CU1404,50800.0,50900.0,50430.0,50490.0,50610.0,50830.0,74432.0,166360.0,18835801600.0,53370.0,48280.0
2014-02-21,CU1405,50450.0,50630.0,50370.0,50510.0,50510.0,50560.0,134264.0,219496.0,33914436700.0,53080.0,48030.0
2014-02-24,CU1405,50510.0,50620.0,49630.0,49900.0,49920.0,50510.0,343210.0,268732.0,85665527400.0,53030.0,47980.0
2014-02-25,CU1405,49800.0,50350.0,49460.0,49520.0,49790.0,49920.0,401766.0,296224.0,100023911100.0,52410.0,47420.0
2014-02-26,CU1405,49520.0,49840.0,49280.0,49680.0,49560.0,49790.0,366326.0,283850.0,90786376500.0,52270.0,47300.0
2014-02-27,CU1405,49800.0,49880.0,48980.0,49210.0,49340.0,49560.0,428502.0,308896.0,105717374500.0,52030.0,47080.0
2014-02-28,CU1405,49230.0,49490.0,48930.0,49280.0,49210.0,49340.0,387216.0,301996.0,95285563300.0,51800.0,46870.0
2014-03-03,CU1405,49260.0,49380.0,48690.0,48760.0,48970.0,49210.0,311574.0,314794.0,76303518400.0,51670.0,46740.0
2014-03-04,CU1405,48680.0,49100.0,48600.0,48990.0,48810.0,48970.0,245048.0,302254.0,59808322100.0,51410.0,46520.0
2014-03-05,CU1405,49010.0,49630.0,48930.0,49380.0,49310.0,48810.0,330170.0,277910.0,81407929500.0,51250.0,46360.0
2014-03-06,CU1405,49320.0,49430.0,48970.0,49140.0,49190.0,49310.0,254596.0,275364.0,62627809300.0,51770.0,46840.0
2014-03-07,CU1405,49180.0,49390.0,48850.0,48920.0,49130.0,49190.0,256750.0,284050.0,63077528400.0,51640.0,46730.0
2014-03-10,CU1405,48130.0,48180.0,46670.0,46670.0,47260.0,49130.0,467868.0,289134.0,110561173500.0,51580.0,46670.0
