date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,V1405,6410.0,6425.0,6355.0,6380.0,6385.0,6425.0,11698.0,29960.0,373677400.0,6680.0,6170.0
2014-01-03,V1405,6380.0,6400.0,6350.0,6380.0,6375.0,6385.0,6326.0,29932.0,201733100.0,6640.0,6130.0
2014-01-06,V1405,6375.0,6400.0,6355.0,6385.0,6380.0,6375.0,6242.0,29474.0,199185000.0,6630.0,6120.0
2014-01-07,V1405,6390.0,6390.0,6325.0,6330.0,6340.0,6380.0,7848.0,30634.0,248862200.0,6635.0,6125.0
2014-01-08,V1405,6320.0,6355.0,6315.0,6335.0,6335.0,6340.0,4594.0,30078.0,145518200.0,6590.0,6090.0
2014-01-09,V1405,6325.0,6535.0,6300.0,6385.0,6380.0,6335.0,13742.0,31740.0,438534100.0,6585.0,6085.0
2014-01-10,V1405,6380.0,6390.0,6350.0,6380.0,6365.0,6380.0,5660.0,31832.0,180258400.0,6635.0,6125.0
2014-01-13,V1405,6380.0,6385.0,6365.0,6375.0,6375.0,6365.0,2602.0,31290.0,82939300.0,6615.0,6115.0
2014-01-14,V1405,6375.0,6415.0,6365.0,6415.0,6390.0,6375.0,5798.0,31926.0,185352300.0,6630.0,6120.0
2014-01-15,V1405,6420.0,6420.0,6385.0,6395.0,6395.0,6390.0,6034.0,30944.0,193003200.0,6645.0,6135.0
2014-01-16,V1405,6405.0,6415.0,6350.0,6355.0,6375.0,6395.0,5000.0,31666.0,159417600.0,6650.0,6140.0
2014-01-17,V1405,6350.0,6365.0,6325.0,6335.0,6340.0,6375.0,8058.0,31454.0,255458500.0,6630.0,6120.0
2014-01-20,V1405,6340.0,6385.0,6335.0,6375.0,6365.0,6340.0,5542.0,30302.0,176438300.0,6590.0,6090.0
2014-01-21,V1405,6375.0,6380.0,6355.0,6360.0,6360.0,6365.0,3600.0,30800.0,114539900.0,6615.0,6115.0
2014-01-22,V1405,6360.0,6365.0,6305.0,6325.0,6330.0,6360.0,6868.0,31360.0,217489900.0,6610.0,6110.0
2014-01-23,V1405,6330.0,6350.0,6325.0,6345.0,6335.0,6330.0,3220.0,31398.0,102062800.0,6580.0,6080.0
2014-01-24,V1405,6340.0,6380.0,6340.0,6345.0,6360.0,6335.0,3982.0,30482.0,126630000.0,6585.0,6085.0
2014-01-27,V1405,6350.0,6350.0,6330.0,6340.0,6335.0,6360.0,1330.0,30368.0,42141200.0,6610.0,6110.0
2014-01-28,V1405,6335.0,6345.0,6320.0,6325.0,6330.0,6335.0,2560.0,30096.0,81057600.0,6585.0,6085.0
2014-01-29,V1405,6330.0,6355.0,6325.0,6350.0,6340.0,6330.0,2138.0,29322.0,67820600.0,6580.0,6080.0
2014-01-30,V1405,6340.0,6350.0,6220.0,6220.0,6275.0,6340.0,11808.0,33052.0,370609500.0,6720.0,5960.0
2014-02-07,V1405,6230.0,6250.0,6165.0,6230.0,6210.0,6275.0,25836.0,39546.0,802784300.0,6650.0,5900.0
2014-02-10,V1405,6240.0,6270.0,6205.0,6260.0,6240.0,6210.0,13592.0,39048.0,424105800.0,6455.0,5965.0
