date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,ZN1403,15190.0,15325.0,15175.0,15300.0,15260.0,15220.0,42604.0,112640.0,3250951350.0,15825.0,14610.0
2014-01-03,ZN1403,15260.0,15280.0,15090.0,15120.0,15180.0,15260.0,88134.0,106020.0,6689476650.0,15870.0,14645.0
2014-01-06,ZN1403,15100.0,15105.0,14970.0,15000.0,15025.0,15180.0,85904.0,98310.0,6454471150.0,15785.0,14570.0
2014-01-07,ZN1403,14985.0,15075.0,14975.0,15050.0,15040.0,15025.0,53286.0,95000.0,4007273950.0,15625.0,14420.0
2014-01-08,ZN1403,15080.0,15115.0,15030.0,15075.0,15065.0,15040.0,46592.0,93962.0,3509794550.0,15640.0,14435.0
2014-01-09,ZN1403,15075.0,15095.0,14970.0,15000.0,15015.0,15065.0,62348.0,90758.0,4682300300.0,15665.0,14460.0
2014-01-10,ZN1403,14995.0,15075.0,14930.0,15045.0,14990.0,15015.0,57914.0,84174.0,4342072200.0,15615.0,14410.0
2014-01-13,ZN1403,15060.0,15160.0,15050.0,15085.0,15100.0,14990.0,41118.0,85460.0,3104807700.0,15585.0,14390.0
2014-01-14,ZN1403,15055.0,15210.0,15040.0,15200.0,15135.0,15100.0,41942.0,85088.0,3174145850.0,15700.0,14495.0
2014-01-15,ZN1403,15225.0,15275.0,15095.0,15155.0,15190.0,15135.0,51930.0,81298.0,3944644600.0,15740.0,14525.0
2014-01-16,ZN1403,15125.0,15275.0,15110.0,15240.0,15200.0,15190.0,33254.0,80556.0,2527884950.0,15795.0,14580.0
2014-01-17,ZN1404,15275.0,15325.0,15200.0,15265.0,15255.0,15230.0,39866.0,94726.0,3041353750.0,15835.0,14620.0
2014-01-20,ZN1404,15280.0,15310.0,15220.0,15250.0,15260.0,15255.0,29204.0,97482.0,2228647400.0,15865.0,14640.0
2014-01-21,ZN1404,15225.0,15265.0,15210.0,15220.0,15235.0,15260.0,22224.0,100686.0,1692975150.0,15870.0,14645.0
2014-01-22,ZN1404,15215.0,15365.0,15165.0,15315.0,15290.0,15235.0,78084.0,118800.0,5969746950.0,15840.0,14625.0
2014-01-23,ZN1404,15250.0,15325.0,15230.0,15255.0,15275.0,15290.0,56630.0,120076.0,4325446900.0,15900.0,14675.0
2014-01-24,ZN1404,15235.0,15320.0,15180.0,15190.0,15225.0,15275.0,64682.0,116240.0,4924987200.0,15885.0,14660.0
2014-01-27,ZN1404,15180.0,15195.0,15060.0,15070.0,15120.0,15225.0,49452.0,111768.0,3739345850.0,15830.0,14615.0
2014-01-28,ZN1404,15065.0,15105.0,15055.0,15075.0,15075.0,15120.0,26558.0,109036.0,2002208600.0,15720.0,14515.0
2014-01-29,ZN1404,15060.0,15105.0,15020.0,15065.0,15055.0,15075.0,29100.0,103404.0,2190973650.0,15675.0,14470.0
2014-01-30,ZN1404,15065.0,15070.0,14985.0,15020.0,15020.0,15055.0,23574.0,102354.0,1770407700.0,15805.0,14300.0
2014-02-07,ZN1404,15050.0,15095.0,15035.0,15045.0,15060.0,15020.0,20186.0,95926.0,1520087200.0,15770.0,14265.0
2014-02-10,ZN1404,15095.0,15160.0,15070.0,15150.0,15110.0,15060.0,30782.0,97424.0,2326193900.0,15660.0,14455.0
2014-02-11,ZN1404,15135.0,15170.0,15035.0,15045.0,15090.0,15110.0,29418.0,95114.0,2219696950.0,15710.0,14505.0
2014-02-12,ZN1404,15050.0,15095.0,15005.0,15080.0,15055.0,15090.0,23000.0,94446.0,1731687100.0,15690.0,14485.0
2014-02-13,ZN1404,15085.0,15105.0,15070.0,15080.0,15085.0,15055.0,15206.0,93908.0,1147041100.0,15655.0,14450.0
2014-02-14,ZN1404,15080.0,15100.0,15045.0,15090.0,15075.0,15085.0,18610.0,94250.0,1402730100.0,15685.0,14480.0
2014-02-17,ZN1404,15140.0,15215.0,15135.0,15200.0,15180.0,15075.0,43200.0,97088.0,3279916400.0,15675.0,14470.0
2014-02-18,ZN1404,15215.0,15230.0,15135.0,15155.0,15175.0,15180.0,22760.0,92274.0,1727297200.0,15785.0,14570.0
2014-02-19,ZN1404,15195.0,15275.0,15190.0,15260.0,15230.0,15175.0,23938.0,90966.0,1823148350.0,15780.0,14565.0
2014-02-20,ZN1404,15245.0,15245.0,15120.0,15160.0,15175.0,15230.0,22556.0,86666.0,1711638550.0,15835.0,14620.0
2014-02-21,ZN1404,15135.0,15180.0,15110.0,15175.0,15155.0,15175.0,7610.0,85470.0,576660400.0,15780.0,14565.0
2014-02-24,ZN1405,15220.0,15265.0,15030.0,15065.0,15090.0,15200.0,58432.0,87514.0,4409147150.0,15805.0,14590.0
2014-02-25,ZN1405,15065.0,15155.0,15005.0,15075.0,15095.0,15090.0,52164.0,94180.0,3938023500.0,15690.0,14485.0
2014-02-26,ZN1405,15075.0,15170.0,15040.0,15150.0,15115.0,15095.0,46436.0,99692.0,3509583150.0,15695.0,14490.0
2014-02-27,ZN1405,15190.0,15230.0,15075.0,15130.0,15140.0,15115.0,49690.0,101354.0,3761791500.0,15715.0,14510.0
2014-02-28,ZN1405,15105.0,15185.0,15065.0,15135.0,15130.0,15140.0,47110.0,108520.0,3564898300.0,15745.0,14530.0
2014-03-03,ZN1405,15175.0,15180.0,15060.0,15080.0,15110.0,15130.0,42966.0,110368.0,3246269400.0,15735.0,14520.0
2014-03-04,ZN1405,15070.0,15150.0,15050.0,15140.0,15095.0,15110.0,47024.0,112242.0,3549979050.0,15710.0,14505.0
2014-03-05,ZN1405,15230.0,15395.0,15185.0,15290.0,15280.0,15095.0,118546.0,123552.0,9057315300.0,15695.0,14490.0
2014-03-06,ZN1405,15280.0,15305.0,15145.0,15200.0,15205.0,15280.0,62060.0,119734.0,4718697450.0,15890.0,14665.0
2014-03-07,ZN1405,15185.0,15235.0,15130.0,15170.0,15175.0,15205.0,45020.0,113344.0,3416879350.0,15810.0,14595.0
2014-03-10,ZN1405,14990.0,14990.0,14700.0,14775.0,14870.0,15175.0,200012.0,110406.0,14874697150.0,15780.0,14565.0
2014-03-11,ZN1405,14750.0,14960.0,14735.0,14920.0,14875.0,14870.0,81462.0,101414.0,6059602300.0,15460.0,14275.0
2014-03-12,ZN1405,14920.0,14935.0,14750.0,14885.0,14835.0,14875.0,82772.0,94178.0,6141344300.0,15470.0,14280.0
2014-03-13,ZN1405,14855.0,14910.0,14795.0,14795.0,14840.0,14835.0,49520.0,90838.0,3674852550.0,15425.0,14240.0
2014-03-14,ZN1405,14750.0,14820.0,14750.0,14765.0,14785.0,14840.0,34026.0,83438.0,2516177250.0,15430.0,14245.0
2014-03-17,ZN1405,14845.0,14845.0,14650.0,14655.0,14725.0,14785.0,31828.0,78622.0,2343767750.0,15375.0,14190.0
2014-03-18,ZN1405,14695.0,14730.0,14665.0,14700.0,14695.0,14725.0,23520.0,69834.0,1728698950.0,15310.0,14135.0
2014-03-19,ZN1405,14640.0,14730.0,14640.0,14720.0,14700.0,14695.0,15438.0,65296.0,1134901550.0,15280.0,14105.0
2014-03-20,ZN1406,14705.0,14890.0,14620.0,14780.0,14735.0,14750.0,75806.0,73772.0,5585692350.0,15340.0,14160.0
2014-03-21,ZN1406,14720.0,14815.0,14705.0,14785.0,14755.0,14735.0,43710.0,76182.0,3225601250.0,15320.0,14145.0
2014-03-24,ZN1406,14785.0,14810.0,14735.0,14770.0,14760.0,14755.0,31464.0,77252.0,2322053850.0,15345.0,14160.0
2014-03-25,ZN1406,14775.0,14850.0,14740.0,14805.0,14790.0,14760.0,43954.0,76588.0,3250859900.0,15350.0,14165.0
2014-03-26,ZN1406,14855.0,14910.0,14815.0,14875.0,14845.0,14790.0,45770.0,77100.0,3397920650.0,15380.0,14195.0
2014-03-27,ZN1406,14840.0,14850.0,14790.0,14805.0,14825.0,14845.0,27008.0,76480.0,2002488650.0,15435.0,14250.0
2014-03-28,ZN1406,14825.0,14885.0,14810.0,14855.0,14840.0,14825.0,25626.0,73918.0,1901951700.0,15415.0,14230.0
2014-03-31,ZN1406,14880.0,14895.0,14790.0,14800.0,14840.0,14840.0,30972.0,73576.0,2298164850.0,15430.0,14245.0
2014-04-01,ZN1406,14850.0,14855.0,14800.0,14815.0,14820.0,14840.0,19316.0,73390.0,1431462150.0,15430.0,14245.0
2014-04-02,ZN1406,14810.0,14880.0,14760.0,14840.0,14805.0,14820.0,28250.0,73822.0,2091705450.0,15410.0,14225.0
2014-04-03,ZN1406,14875.0,14875.0,14805.0,14845.0,14825.0,14805.0,17098.0,72052.0,1267543350.0,15395.0,14210.0
2014-04-04,ZN1406,14830.0,14865.0,14810.0,14860.0,14845.0,14825.0,16626.0,69626.0,1234412250.0,15415.0,14230.0
2014-04-08,ZN1406,14880.0,14910.0,14865.0,14905.0,14890.0,14845.0,15948.0,67718.0,1187372250.0,15435.0,14250.0
2014-04-09,ZN1406,14910.0,14955.0,14900.0,14930.0,14930.0,14890.0,22516.0,65206.0,1680957350.0,15485.0,14290.0
2014-04-10,ZN1406,14940.0,14945.0,14890.0,14940.0,14915.0,14930.0,22614.0,62538.0,1686679500.0,15525.0,14330.0
2014-04-11,ZN1406,14980.0,15010.0,14950.0,15000.0,14970.0,14915.0,17590.0,61078.0,1316883900.0,15510.0,14315.0
2014-04-14,ZN1406,14970.0,14995.0,14915.0,14980.0,14950.0,14970.0,19990.0,59442.0,1494631750.0,15565.0,14370.0
2014-04-15,ZN1406,15000.0,15030.0,14970.0,14975.0,14995.0,14950.0,15278.0,58006.0,1145478750.0,15545.0,14350.0
2014-04-16,ZN1406,14920.0,15000.0,14895.0,14990.0,14950.0,14995.0,12630.0,56350.0,944282500.0,15590.0,14395.0
2014-04-17,ZN1406,14980.0,15065.0,14980.0,15040.0,15040.0,14950.0,10762.0,54894.0,809486050.0,15545.0,14350.0
2014-04-18,ZN1407,15110.0,15125.0,15020.0,15075.0,15055.0,15090.0,18126.0,63690.0,1364462100.0,15690.0,14485.0
2014-04-21,ZN1407,15060.0,15075.0,15050.0,15065.0,15060.0,15055.0,12186.0,64482.0,917834800.0,15655.0,14450.0
2014-04-22,ZN1407,15075.0,15090.0,15040.0,15070.0,15060.0,15060.0,12682.0,68784.0,955067100.0,15660.0,14455.0
2014-04-23,ZN1407,15125.0,15190.0,15115.0,15190.0,15165.0,15060.0,35722.0,79556.0,2708648800.0,15660.0,14455.0
2014-04-24,ZN1407,15125.0,15200.0,15105.0,15195.0,15150.0,15165.0,38322.0,87246.0,2903384400.0,15770.0,14555.0
2014-04-25,ZN1407,15175.0,15240.0,15130.0,15215.0,15185.0,15150.0,37290.0,89192.0,2831795400.0,15755.0,14540.0
2014-04-28,ZN1407,15220.0,15220.0,15110.0,15135.0,15150.0,15185.0,31686.0,86568.0,2400838150.0,15790.0,14575.0
2014-04-29,ZN1407,15125.0,15155.0,15040.0,15065.0,15120.0,15150.0,26236.0,89630.0,1983580700.0,15755.0,14540.0
2014-04-30,ZN1407,15080.0,15090.0,15020.0,15070.0,15055.0,15120.0,21934.0,87790.0,1651182600.0,15875.0,14360.0
2014-05-05,ZN1407,15055.0,15155.0,15045.0,15130.0,15115.0,15055.0,20628.0,91552.0,1559121750.0,15805.0,14300.0
2014-05-06,ZN1407,15130.0,15145.0,15075.0,15135.0,15110.0,15115.0,24750.0,90856.0,1869972450.0,15715.0,14510.0
2014-05-07,ZN1407,15110.0,15180.0,15100.0,15160.0,15140.0,15110.0,22238.0,89908.0,1683950950.0,15710.0,14505.0
2014-05-08,ZN1407,15130.0,15135.0,15070.0,15075.0,15090.0,15140.0,27224.0,83274.0,2054114900.0,15745.0,14530.0
2014-05-09,ZN1407,15070.0,15135.0,15030.0,15110.0,15080.0,15090.0,37236.0,80034.0,2808256900.0,15690.0,14485.0
2014-05-12,ZN1407,15090.0,15205.0,15070.0,15205.0,15145.0,15080.0,25594.0,86032.0,1938581250.0,15680.0,14475.0
2014-05-13,ZN1407,15250.0,15320.0,15180.0,15250.0,15240.0,15145.0,38196.0,91698.0,2911370950.0,15750.0,14535.0
2014-05-14,ZN1407,15240.0,15250.0,15170.0,15240.0,15210.0,15240.0,20282.0,90098.0,1542675200.0,15845.0,14630.0
2014-05-15,ZN1407,15280.0,15295.0,15225.0,15250.0,15255.0,15210.0,20236.0,89004.0,1543726750.0,15815.0,14600.0
2014-05-16,ZN1407,15245.0,15255.0,15170.0,15170.0,15190.0,15255.0,16364.0,83130.0,1243221200.0,15865.0,14640.0
2014-05-19,ZN1407,15195.0,15255.0,15175.0,15250.0,15210.0,15190.0,10468.0,82908.0,796317150.0,15795.0,14580.0
2014-05-20,ZN1407,15265.0,15275.0,15220.0,15255.0,15245.0,15210.0,10298.0,82390.0,785100050.0,15815.0,14600.0
2014-05-21,ZN1407,15230.0,15230.0,15195.0,15205.0,15210.0,15245.0,8890.0,78514.0,676200700.0,15850.0,14635.0
2014-05-22,ZN1407,15160.0,15210.0,15150.0,15190.0,15175.0,15210.0,8182.0,75390.0,620970150.0,15815.0,14600.0
2014-05-23,ZN1407,15210.0,15245.0,15185.0,15215.0,15210.0,15175.0,13146.0,71090.0,1000049650.0,15780.0,14565.0
2014-05-26,ZN1407,15245.0,15260.0,15220.0,15235.0,15230.0,15210.0,8458.0,67918.0,644251550.0,15815.0,14600.0
2014-05-27,ZN1407,15235.0,15285.0,15190.0,15205.0,15215.0,15230.0,9774.0,63872.0,743564950.0,15835.0,14620.0
2014-05-28,ZN1407,15205.0,15250.0,15205.0,15230.0,15215.0,15215.0,6654.0,60402.0,506359850.0,15820.0,14605.0
2014-05-29,ZN1408,15230.0,15230.0,15120.0,15125.0,15185.0,15240.0,25096.0,68164.0,1905617900.0,15845.0,14630.0
2014-05-30,ZN1408,15105.0,15170.0,15100.0,15150.0,15135.0,15185.0,20142.0,68710.0,1524590150.0,15790.0,14575.0
2014-06-03,ZN1408,15200.0,15235.0,15175.0,15185.0,15190.0,15135.0,12184.0,71208.0,925493950.0,15740.0,14525.0
2014-06-04,ZN1408,15180.0,15210.0,15150.0,15175.0,15180.0,15190.0,16390.0,73146.0,1244054900.0,15795.0,14580.0
