symbol,strategy_mode,param_label,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio,param_count
CU,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.04409172214104751,0.07813189771206765,0.5643242188169384,0.12425384700657038,0.3548519679935221,0.50390625,1.117886908742643,5.86608832807571,1.543747550023903,0.9124605678233438,60.0
J,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.0652247280835343,0.12104292483655558,0.5388561799180525,0.2536752631477781,0.2571189925031742,0.4927468413664015,1.1747182732250967,6.901182965299685,1.8886639758152446,0.8359621451104101,60.0
RB,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.0543969378409459,0.10787149352493233,0.5042753749244525,0.2537992945119434,0.21433053210629027,0.5176575771122038,1.0494612894294526,5.837933753943218,1.7041269312050529,0.8836750788643533,60.0
ZN,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.04069282098826954,0.10036431616243073,0.4054510860454808,0.1735745882320351,0.2344399684467132,0.5109207708779443,1.0493268091136851,6.160883280757098,1.4939134309316002,0.9227129337539433,60.0
JM,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.05012856917790809,0.1275265818897499,0.39308329632206057,0.2404089977883057,0.20851369806902673,0.49546690843155033,1.1260680739013988,7.528864353312303,1.6359629598126215,0.8671135646687698,60.0
I,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.0344973552364356,0.13709477425828465,0.2516314383467532,0.40181736078854957,0.08585332193894261,0.5023255813953489,1.0635747911135989,7.1082018927444794,1.4067892663041535,0.8434542586750788,60.0
AL,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.01366651445690481,0.07624663740992661,0.1792408809247443,0.20500853241606298,0.06666314955695962,0.5,1.0482645659324281,5.538170347003154,1.1463712721720318,0.9160094637223974,60.0
TA,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,0.0006515317761841555,0.11002792776122891,0.005921512741729005,0.25774902233240116,0.0025277759360185655,0.5020008892841262,1.00519137504669,6.49211356466877,1.006576077913497,0.888801261829653,60.0
NI,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,-0.002698536799705109,0.1247416482816224,-0.021633005791399918,0.35825407394412956,-0.00753246646994432,0.5043433827286663,0.9916393673412623,6.2464908359409925,0.9762981592870648,0.8690210102816271,60.0
RU,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,-0.005897916277588511,0.12410553376469974,-0.04752339479696996,0.3811781828674441,-0.015472859000536056,0.48793809740555305,1.0532188113259455,6.477208201892745,0.942207873444469,0.8671135646687698,60.0
V,ensemble,ensemble mean signal (60 params),,,,ensemble,close,open,open_to_open,-0.004918266899835433,0.08129696531710265,-0.06049754601111494,0.22728128280226012,-0.021639559752548724,0.4937444146559428,1.0211824871935147,5.693848580441641,0.9515937626792452,0.8978706624605678,60.0
