date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,RU1405,88271.91373338185,88611.51439077876,87374.39771026146,87980.82745561308,87980.82745561308,88320.42811300998,354254.0,214686.0,0,92735.23665916978,83881.36237703612
2014-01-03,RU1405,87325.88333063333,87422.91208988958,85409.5653353222,85506.59409457847,86258.56697881447,87980.82745561308,422786.0,225800.0,0,92371.3788119588,83566.01890945328
2014-01-06,RU1405,85264.02219643781,85530.85128439253,83614.5332890814,83663.04766870954,84827.39277978466,86258.56697881447,439186.0,226854.0,0,90552.08957590394,81940.78719191093
2014-01-07,RU1405,83638.79047889548,83808.59080759392,81067.5283586046,81576.92934469997,82498.70255763443,84827.39277978466,626044.0,230146.0,0,89048.14380743193,80582.3845623233
2014-01-08,RU1405,81552.6721548859,82086.33033079533,80921.98521972021,81188.81430767493,81407.1290160015,82498.70255763443,446668.0,223728.0,0,86622.42482602544,78350.72309942935
2014-01-09,RU1405,80970.49959934835,83129.38949280011,80824.95646046396,81770.98686321249,82062.07314098126,81407.1290160015,553446.0,212692.0,0,85458.07971495033,77331.92112723862
2014-01-10,RU1405,81601.18653451402,82619.98850670476,81116.04273823273,82086.33033079533,81770.98686321249,82062.07314098126,437596.0,208304.0,0,86161.53821955822,77938.35087259024
2014-01-13,RU1405,82668.50288633288,82717.01726596101,79199.72474292161,79272.4963123638,80606.64175213737,81770.98686321249,530984.0,229552.0,0,85846.19475197537,77671.52178463552
2014-01-14,RU1405,79199.72474292161,81576.92934469997,78763.09532626845,81261.58587711712,80121.49795585607,80606.64175213737,590184.0,211122.0,0,84633.33526127214,76555.69105318855
2014-01-15,RU1405,81116.04273823273,81698.21529377029,80145.75514567013,80897.72802990615,80849.21365027802,80121.49795585607,539538.0,209488.0,0,84123.93427517677,76094.80444672132
2014-01-16,RU1405,81261.58587711712,82231.87346967972,80921.98521972021,81285.8430669312,81552.6721548859,80849.21365027802,528038.0,206216.0,0,84875.90715941277,76798.26295132919
2014-01-17,RU1405,81019.01397897648,81091.78554841867,79806.15448827323,80679.41332157956,80291.29828455453,81552.6721548859,448570.0,203248.0,0,85627.8800436488,77453.20707630894
2014-01-20,RU1405,80097.24076604201,82159.10190023753,80072.98357622794,81649.70091414216,81576.92934469997,80291.29828455453,459778.0,200824.0,0,84293.73460387523,76264.60477541976
