date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,-0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,-0.0,1.0
2014-01-13,0.0,0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,0.0,1.0
2014-01-16,0.0,-0.0,1.0
2014-01-17,0.0,0.0,1.0
2014-01-20,0.0,0.0,1.0
2014-01-21,0.0,0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,-0.0,1.0
2014-01-24,0.0,-0.0,1.0
2014-01-27,0.0,-0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,0.0,1.0
2014-01-30,0.0,-0.0,1.0
2014-02-07,0.0,-0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,-0.0,1.0
2014-02-12,0.0,0.0,1.0
2014-02-13,0.0,-0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-04,0.0,-0.0,1.0
2014-03-05,0.0,0.0,1.0
2014-03-06,0.0,0.0,1.0
2014-03-07,0.0,-0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,-0.0,1.0
2014-03-12,0.0,0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,-0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,-0.0,1.0
2014-03-19,0.0,-0.0,1.0
2014-03-20,0.0,-0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,0.0,1.0
2014-03-25,0.0,-0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,-0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,-0.0,1.0
2014-04-03,0.0,0.0,1.0
2014-04-04,0.0,-0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,-0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,-0.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-18,0.0,0.0,1.0
2014-04-21,0.0,0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,-0.0,1.0
2014-04-30,0.0,-0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,-0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,-0.0,1.0
2014-05-09,0.0,0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,-0.0,1.0
2014-05-15,0.0,0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,-0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,-0.0,1.0
2014-05-22,0.0,-0.0,1.0
2014-05-23,0.0,0.0,1.0
2014-05-26,0.0,0.0,1.0
2014-05-27,0.0,-0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,0.0,1.0
2014-05-30,0.0,-0.0,1.0
2014-06-03,0.0,0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,-0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,0.0,1.0
2014-06-10,0.0,0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,-0.0,1.0
2014-06-16,0.0,-0.0,1.0
2014-06-17,0.0,-0.0,1.0
2014-06-18,0.0,-0.0,1.0
2014-06-19,0.0,0.0,1.0
2014-06-20,0.0,0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,0.0,1.0
2014-06-25,0.0,-0.0,1.0
2014-06-26,0.0,-0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,-0.0,1.0
2014-07-01,0.0,-0.0,1.0
2014-07-02,0.0,0.0,1.0
2014-07-03,0.0,0.0,1.0
2014-07-04,0.0,0.0,1.0
2014-07-07,0.0,0.0,1.0
2014-07-08,0.0,-0.0,1.0
2014-07-09,0.0,0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,-0.0,1.0
2014-07-14,0.0,0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,0.0,1.0
2014-07-17,0.0,0.0,1.0
2014-07-18,0.0,0.0,1.0
2014-07-21,0.0,-0.0,1.0
2014-07-22,0.0,0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,-0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,-0.0,1.0
2014-07-30,0.0,-0.0,1.0
2014-07-31,0.0,0.0,1.0
2014-08-01,0.0,0.0,1.0
2014-08-04,0.0,-0.0,1.0
2014-08-05,0.0,0.0,1.0
2014-08-06,0.0,0.0,1.0
2014-08-07,0.0,-0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,-0.0,1.0
2014-08-12,0.0,0.0,1.0
2014-08-13,0.0,0.0,1.0
2014-08-14,0.0,-0.0,1.0
2014-08-15,-0.041666666666666664,-0.0,1.0
2014-08-18,-0.041666666666666664,-4.166666666666667e-06,0.9999958333333333
2014-08-19,0.041666666666666664,-0.00022433596554199964,0.9997714983025244
2014-08-20,0.041666666666666664,-0.0004248512436034755,0.9993467441381513
2014-08-21,0.041666666666666664,0.00022092612230470432,0.9995675259391715
2014-08-22,0.041666666666666664,0.00033696671354899177,0.9999043469233576
2014-08-25,0.041666666666666664,-4.359958144401858e-05,0.9998607515123477
2014-08-26,0.041666666666666664,-2.9096834264432287e-05,0.9998316587297734
2014-08-27,0.041666666666666664,0.0004513160959701834,1.0002828988506187
2014-08-28,0.041666666666666664,-5.761032377001966e-05,1.0002252722289542
2014-08-29,0.041666666666666664,-7.211261105342e-05,1.000153143372932
2014-09-01,0.041666666666666664,0.0004045307443365694,1.0005577360684712
2014-09-02,0.041666666666666664,5.723443223443203e-05,1.000615002422413
2014-09-03,0.041666666666666664,0.0008001828989483335,1.0014156774357825
2014-09-04,0.041666666666666664,-0.00011215791834903732,1.0013033607379993
2014-09-05,0.041666666666666664,0.0004639001349527697,1.0017678655021742
2014-09-09,0.041666666666666664,-0.00020854187520854178,1.0015589549529786
2014-09-10,0.041666666666666664,-0.0006008271853342276,1.0009571911051278
2014-09-11,0.041666666666666664,-0.0003260746285584648,1.0006308043608352
2014-09-12,0.041666666666666664,-0.00028577960676726133,1.0003448444830458
2014-09-15,0.041666666666666664,0.00015826427255985487,1.000503163332167
2014-09-16,-0.08333333333333333,-0.0006736612773764472,0.9998291630931375
2014-09-17,-0.08333333333333333,-2.706876456876662e-05,0.9998020989529127
2014-09-18,-0.08333333333333333,-8.744316194473725e-05,0.9997146730960613
