date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,0.0,1.0
2014-01-09,0.0,0.0,1.0
2014-01-10,0.0,-0.0,1.0
2014-01-13,0.0,0.0,1.0
2014-01-14,0.0,0.0,1.0
2014-01-15,0.0,0.0,1.0
2014-01-16,0.0,-0.0,1.0
2014-01-17,0.0,0.0,1.0
2014-01-20,0.0,0.0,1.0
2014-01-21,0.0,-0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,-0.0,1.0
2014-01-27,0.0,-0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,0.0,1.0
2014-01-30,0.0,-0.0,1.0
2014-02-07,0.0,0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,-0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-04,0.0,-0.0,1.0
2014-03-05,0.0,0.0,1.0
2014-03-06,0.0,0.0,1.0
2014-03-07,0.0,-0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,-0.0,1.0
2014-03-12,0.0,0.0,1.0
2014-03-13,0.0,-0.0,1.0
2014-03-14,0.0,-0.0,1.0
2014-03-17,0.0,0.0,1.0
2014-03-18,0.0,-0.0,1.0
2014-03-19,0.0,-0.0,1.0
2014-03-20,0.0,-0.0,1.0
2014-03-21,0.0,0.0,1.0
2014-03-24,0.0,0.0,1.0
2014-03-25,0.0,-0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,-0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,0.0,1.0
2014-04-02,0.0,0.0,1.0
2014-04-03,0.0,0.0,1.0
2014-04-04,0.0,-0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,-0.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,0.0,1.0
2014-04-23,0.0,-0.0,1.0
2014-04-24,0.0,0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,0.0,1.0
2014-04-29,0.0,0.0,1.0
2014-04-30,0.0,-0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,-0.0,1.0
2014-05-09,0.0,0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,0.0,1.0
2014-05-15,0.0,-0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,-0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,-0.0,1.0
2014-05-22,0.0,-0.0,1.0
2014-05-23,0.0,0.0,1.0
2014-05-26,0.0,0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,0.0,1.0
2014-05-30,0.0,-0.0,1.0
2014-06-03,0.0,0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,-0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,-0.0,1.0
2014-06-10,0.0,-0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,0.0,1.0
2014-06-13,0.0,-0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,0.0,1.0
2014-06-18,0.0,0.0,1.0
2014-06-19,0.0,0.0,1.0
2014-06-20,0.0,-0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,0.0,1.0
2014-06-25,0.0,-0.0,1.0
2014-06-26,0.0,-0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,0.0,1.0
2014-07-01,0.0,0.0,1.0
2014-07-02,0.0,0.0,1.0
2014-07-03,0.0,0.0,1.0
2014-07-04,0.0,0.0,1.0
2014-07-07,0.0,0.0,1.0
2014-07-08,0.0,-0.0,1.0
2014-07-09,0.0,0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,-0.0,1.0
2014-07-14,0.0,0.0,1.0
2014-07-15,0.0,-0.0,1.0
2014-07-16,0.0,-0.0,1.0
2014-07-17,0.0,-0.0,1.0
2014-07-18,0.0,-0.0,1.0
2014-07-21,0.0,-0.0,1.0
2014-07-22,0.0,0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,-0.0,1.0
2014-07-30,0.0,-0.0,1.0
2014-07-31,0.0,0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,-0.0,1.0
2014-08-05,0.0,0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,-0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,0.0,1.0
2014-08-12,0.0,0.0,1.0
2014-08-13,0.0,-0.0,1.0
2014-08-14,0.0,-0.0,1.0
2014-08-15,0.0,-0.0,1.0
2014-08-18,0.0,0.0,1.0
2014-08-19,0.0,0.0,1.0
2014-08-20,0.0,0.0,1.0
2014-08-21,0.0,0.0,1.0
2014-08-22,0.16666666666666666,0.0,1.0
2014-08-25,0.16666666666666666,-1.6666666666666667e-05,0.9999833333333333
2014-08-26,0.16666666666666666,0.00022993036394691746,1.0002132598651075
2014-08-27,0.16666666666666666,-0.00045922718624942976,0.9997539347441302
2014-08-28,0.16666666666666666,-0.0014801657785672069,0.998274133182934
2014-08-29,0.16666666666666666,-0.0003982477100756646,0.9978765727953661
2014-09-01,0.16666666666666666,-0.0008982035928143765,0.9969802764724961
2014-09-02,0.16666666666666666,-0.0015720115057863415,0.9954130120068393
2014-09-03,0.16666666666666666,0.0005402485143165917,0.9959507824077075
2014-09-04,0.16666666666666666,-6.731287022078887e-05,0.9958837421019451
2014-09-05,0.16666666666666666,0.001043771043771032,0.9969232167149134
2014-09-09,0.16666666666666666,0.0004015257980325056,0.997323507105082
2014-09-10,0.16666666666666666,-0.002102944121770478,0.9952261914983118
2014-09-11,0.16666666666666666,-0.0012508451656524735,0.9939813176279455
2014-09-12,0.16666666666666666,-0.0019415491518495753,0.9920514540437507
2014-09-15,0.16666666666666666,0.0006892748828232579,0.9927352501934914
2014-09-16,0.16666666666666666,-0.0005148270181219068,0.9922241632648499
2014-09-17,0.16666666666666666,0.0011017007505336185,0.9933172973702163
2014-09-18,0.16666666666666666,0.0019153156850673831,0.9952198135701182
2014-09-19,0.16666666666666666,-0.0016906742408872577,0.9935372210672946
2014-09-22,0.16666666666666666,0.0005465600874496138,0.9940802488577256
2014-09-23,0.16666666666666666,-0.003404834865509021,0.990695569767301
