date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,-0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,-0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,-0.0,1.0
2014-01-13,0.0,0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,0.0,1.0
2014-01-16,0.0,0.0,1.0
2014-01-17,0.0,-0.0,1.0
2014-01-20,0.0,-0.0,1.0
2014-01-21,0.0,-0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,0.0,1.0
2014-01-27,0.0,0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,-0.0,1.0
2014-01-30,0.0,0.0,1.0
2014-02-07,0.0,0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,-0.0,1.0
2014-02-14,0.0,0.0,1.0
2014-02-17,0.0,-0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,-0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,0.0,1.0
2014-03-03,0.0,-0.0,1.0
2014-03-04,0.0,-0.0,1.0
2014-03-05,0.0,-0.0,1.0
2014-03-06,0.0,-0.0,1.0
2014-03-07,0.0,-0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,0.0,1.0
2014-03-12,0.0,-0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,-0.0,1.0
2014-03-19,0.0,0.0,1.0
2014-03-20,0.0,0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,-0.0,1.0
2014-03-25,0.0,0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,-0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,0.0,1.0
2014-04-03,0.0,-0.0,1.0
2014-04-04,0.0,0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,0.0,1.0
2014-04-17,0.0,-0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,-0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,-0.0,1.0
2014-04-30,0.0,0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,0.0,1.0
2014-05-09,0.0,0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,-0.0,1.0
2014-05-15,0.0,-0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,-0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,-0.0,1.0
2014-05-22,0.0,0.0,1.0
2014-05-23,0.0,0.0,1.0
2014-05-26,0.0,-0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,-0.0,1.0
2014-05-30,0.0,-0.0,1.0
2014-06-03,0.0,0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,-0.0,1.0
2014-06-10,0.0,0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,-0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,-0.0,1.0
2014-06-18,0.0,0.0,1.0
2014-06-19,0.0,-0.0,1.0
2014-06-20,0.0,-0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,-0.0,1.0
2014-06-25,0.0,0.0,1.0
2014-06-26,0.0,0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,-0.0,1.0
2014-07-01,0.0,-0.0,1.0
2014-07-02,0.0,0.0,1.0
2014-07-03,0.0,0.0,1.0
2014-07-04,0.0,-0.0,1.0
2014-07-07,0.0,-0.0,1.0
2014-07-08,0.0,0.0,1.0
2014-07-09,0.0,0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,-0.0,1.0
2014-07-14,0.0,-0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,0.0,1.0
2014-07-17,0.0,-0.0,1.0
2014-07-18,0.0,-0.0,1.0
2014-07-21,0.0,-0.0,1.0
2014-07-22,0.0,0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,0.0,1.0
2014-07-28,0.0,-0.0,1.0
2014-07-29,0.0,0.0,1.0
2014-07-30,0.0,0.0,1.0
2014-07-31,0.0,-0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,-0.0,1.0
2014-08-05,0.0,0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,-0.0,1.0
2014-08-12,0.0,-0.0,1.0
2014-08-13,0.0,-0.0,1.0
2014-08-14,0.0,-0.0,1.0
2014-08-15,0.0,-0.0,1.0
2014-08-18,0.0,0.0,1.0
2014-08-19,0.0,-0.0,1.0
2014-08-20,0.0,0.0,1.0
2014-08-21,0.0,-0.0,1.0
2014-08-22,0.0,0.0,1.0
2014-08-25,0.0,0.0,1.0
2014-08-26,0.0,0.0,1.0
2014-08-27,-1.0,0.0,1.0
2014-08-28,-1.0,-0.0001,0.9999
2014-08-29,-1.0,0.0054102795311090635,1.005309738503156
2014-09-01,-1.0,-0.0036264732547597323,1.0016640096237248
2014-09-02,-1.0,0.013550135501354976,1.0152366926809568
2014-09-03,-1.0,-0.019230769230769162,0.9957129101294
2014-09-04,-1.0,0.017969451931716063,1.0136053254057593
2014-09-05,-1.0,-0.0018298261665141702,1.0117506038588138
2014-09-09,-1.0,0.01187214611872145,1.0237622548635303
2014-09-10,-1.0,0.01756007393715342,1.0417395957530007
2014-09-11,-1.0,-0.008466603951081897,1.0329195991756
2014-09-12,-1.0,0.004664179104477584,1.03773732118668
2014-09-15,-1.0,-0.006560449859418949,1.0309292975237871
2014-09-16,-1.0,-0.016759776536312776,1.0136511528725505
2014-09-17,-1.0,0.009157509157509125,1.0229336725875005
2014-09-18,-1.0,-0.009242144177449063,1.0134795721014793
2014-09-19,-1.0,0.005494505494505475,1.01904814117896
2014-09-22,-1.0,0.009208103130755041,1.0284316415581403
2014-09-23,-1.0,0.026022304832713727,1.0551938032343744
2014-09-24,-1.0,-0.016221374045801484,1.0380771098612978
2014-09-25,-1.0,-0.0009389671361501595,1.0371023895703482
2014-09-26,-1.0,0.01407129455909939,1.0516957627819383
2014-09-29,-1.0,-0.007611798287345373,1.0436904667759863
