date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,-0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,-0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,0.0,1.0
2014-01-13,0.0,-0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,-0.0,1.0
2014-01-16,0.0,0.0,1.0
2014-01-17,0.0,0.0,1.0
2014-01-20,0.0,-0.0,1.0
2014-01-21,0.0,0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,0.0,1.0
2014-01-27,0.0,0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,0.0,1.0
2014-01-30,0.0,0.0,1.0
2014-02-07,0.0,-0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,-0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,-0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,-0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,-0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-04,0.0,0.0,1.0
2014-03-05,0.0,0.0,1.0
2014-03-06,0.0,0.0,1.0
2014-03-07,0.0,0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,-0.0,1.0
2014-03-12,0.0,-0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,-0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,0.0,1.0
2014-03-19,0.0,0.0,1.0
2014-03-20,0.0,0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,0.0,1.0
2014-03-25,0.0,0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,-0.0,1.0
2014-04-03,0.0,-0.0,1.0
2014-04-04,0.0,-0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,-0.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,-0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,-0.0,1.0
2014-04-30,0.0,0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,-0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,0.0,1.0
2014-05-09,0.0,-0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,0.0,1.0
2014-05-15,0.0,0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,0.0,1.0
2014-05-22,0.0,0.0,1.0
2014-05-23,0.0,-0.0,1.0
2014-05-26,0.0,0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,0.0,1.0
2014-05-30,0.0,0.0,1.0
2014-06-03,0.0,-0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,0.0,1.0
2014-06-10,0.0,-0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,0.0,1.0
2014-06-18,0.0,-0.0,1.0
2014-06-19,0.0,-0.0,1.0
2014-06-20,0.0,0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,-0.0,1.0
2014-06-25,0.0,0.0,1.0
2014-06-26,0.0,0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,0.0,1.0
2014-07-01,0.0,0.0,1.0
2014-07-02,0.0,-0.0,1.0
2014-07-03,0.0,-0.0,1.0
2014-07-04,0.0,0.0,1.0
2014-07-07,0.0,0.0,1.0
2014-07-08,0.0,-0.0,1.0
2014-07-09,0.0,-0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,0.0,1.0
2014-07-14,0.0,0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,0.0,1.0
2014-07-17,0.0,0.0,1.0
2014-07-18,0.0,0.0,1.0
2014-07-21,0.0,0.0,1.0
2014-07-22,0.0,-0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,-0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,0.0,1.0
2014-07-30,0.0,0.0,1.0
2014-07-31,0.0,-0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,0.0,1.0
2014-08-05,0.0,-0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,-0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,0.0,1.0
2014-08-12,0.0,0.0,1.0
2014-08-13,0.0,-0.0,1.0
2014-08-14,0.0,-0.0,1.0
2014-08-15,-1.0,-0.0,1.0
2014-08-18,-1.0,-0.0001,0.9999
2014-08-19,-1.0,0.0026239067055393583,1.0025236443148688
2014-08-20,-1.0,-0.005846243788365957,0.9966626466866031
2014-08-21,-1.0,-0.00029061319383894,0.9963730033716696
2014-08-22,-1.0,-0.004938988959906965,0.9914519281080676
2014-08-25,-1.0,0.017056952876553955,1.0083630769251755
2014-08-26,-1.0,-0.004411764705882337,1.003914416291682
2014-08-27,-1.0,0.004392386530014614,1.008323996451089
2014-08-28,-1.0,0.0117647058823529,1.0201866317034547
2014-08-29,-1.0,0.004464285714285698,1.0247410363092735
2014-09-01,-1.0,-0.009267563527653122,1.0152441836558843
2014-09-02,-1.0,0.006812796208530814,1.0221608353810279
2014-09-03,-1.0,-0.005070086489710635,1.0169783915392512
2014-09-04,-1.0,0.010979228486646897,1.0281440296659432
2014-09-05,-1.0,-0.0,1.0281440296659432
2014-09-09,-1.0,0.003000300030002956,1.0312287702289973
2014-09-10,-1.0,0.009930785434848044,1.0414696818803837
2014-09-11,-1.0,0.01367781155015202,1.0557147079243403
2014-09-12,-1.0,0.007087827426810467,1.0631974315860537
2014-09-15,-1.0,0.0018621973929237035,1.0651773150713166
2014-09-16,-1.0,0.0043532338308457375,1.0698142809951345
2014-09-17,-1.0,0.00031230480949406836,1.070148389140355
2014-09-18,-1.0,-0.002499218994064245,1.0674738539597481
2014-09-19,-1.0,0.015892801495793085,1.0844390040226797
2014-09-22,-1.0,0.006966434452184922,1.0919936772615964
2014-09-23,-1.0,0.01658163265306123,1.1101007152774136
2014-09-24,-1.0,0.0012970168612191912,1.1115405346227798
2014-09-25,-1.0,-0.008441558441558472,1.1021574002396004
