symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,min_chunk,n_scales,min_segments,min_valid_scales,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
AL,80,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.06766288691439248,0.1187491319534144,0.5697968970496291,0.2892176744707323,0.23395142443564493,0.5003543586109143,1.152402821100179,5.962145110410094,1.9326215022024034,0.5540220820189274
AL,20,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.07550236065547411,0.14161403850216653,0.533155903567562,0.331140585254863,0.22800696748592011,0.5083381253594019,1.0951504793591336,7.452681388012619,2.080275003788536,0.6861198738170347
AL,60,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.05971483425366797,0.12358030686704252,0.4832067160823117,0.297253802241337,0.20088837822564223,0.5094752186588921,1.0971574545458331,5.763406940063091,1.7926249647862498,0.5406151419558359
AL,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.07048286819788752,0.14590147965030104,0.4830853557264941,0.27100221552995774,0.2600822582208596,0.5112823335167859,1.072091509354495,7.850157728706625,1.9846105274119352,0.7168769716088328
AL,60,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.04791091453633012,0.11642630653762305,0.4115127926079812,0.3534721713721801,0.13554366769621437,0.5003897116134061,1.1179970584872305,5.564668769716088,1.6015262950562013,0.5047318611987381
AL,60,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.04849970136983006,0.12662930558629445,0.3830053489220062,0.36204509887203906,0.13396038648481126,0.5065292096219931,1.0813624511552813,6.160883280757098,1.610604972530958,0.5753154574132492
AL,80,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.040740580901373,0.11250367607007071,0.36212666398561527,0.3193790728558129,0.12756183596213824,0.5051710421638823,1.083070355369003,5.365930599369085,1.4946035204525379,0.4948738170347003
AL,20,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.052464884058678996,0.1455711166162816,0.3604072379067743,0.3746444878210091,0.14003911912283284,0.5057787561915245,1.0690205866672686,7.850157728706625,1.6729622855189739,0.7156940063091483
AL,20,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.05048180972886551,0.14830829389105263,0.34038426580478015,0.24110594232484528,0.2093760495577114,0.500799147575919,1.084756964856311,8.048895899053628,1.6415093750326697,0.7401419558359621
AL,60,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.03948445609555118,0.1198674323148745,0.32940103356707595,0.4379104475348693,0.0901655950841574,0.5051831375259157,1.0702862931452481,5.962145110410094,1.4765487984645453,0.5721608832807571
