symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
RB,20,140,20,rs_default,close,open,open_to_open,0.21459915667153107,0.20772866742919405,1.033074343215911,0.24062541552120043,0.8918391110378101,0.4997134670487106,1.2478079765919976,9.042586750788644,7.07441570728225,0.6782334384858044
CU,20,140,40,rs_default,close,open,open_to_open,0.12310735592698663,0.1449515685642009,0.8492999223562097,0.1908641075633276,0.6450000343104861,0.5122242098986285,1.150906569752423,7.055205047318612,3.2167259881459875,0.6549684542586751
ZN,60,140,60,rs_default,close,open,open_to_open,0.1264814861764707,0.15882591388626233,0.7963529570309669,0.21566510045971454,0.5864717374617456,0.5089531680440771,1.1601802811501896,5.962145110410094,3.3153138787615672,0.5642744479495269
JM,60,140,60,rs_default,close,open,open_to_open,0.15103069696622984,0.20702718220420369,0.7295210964966858,0.36227240693811447,0.4168981519810583,0.5004314063848145,1.2291489965284468,8.14826498422713,4.118580832902052,0.4522870662460568
V,60,140,20,rs_default,close,open,open_to_open,0.10519536578266031,0.15244901551611664,0.6900363733181291,0.2592836117401577,0.4057154444766156,0.5100719424460431,1.1350541143443067,6.160883280757098,2.7362047169519306,0.5500788643533123
I,60,140,20,rs_robust,close,open,open_to_open,0.1701762737700474,0.24747966723496634,0.6876373953116551,0.501036112684417,0.3396487188484052,0.5030461270670148,1.208336871057038,9.241324921135647,4.862350899341483,0.44558359621451105
J,60,140,20,rs_default,close,open,open_to_open,0.139689059323431,0.20611871433626622,0.6777116758817905,0.3964143514286944,0.3523814383106606,0.5063176895306859,1.1842173506943676,8.14826498422713,3.727943111226718,0.42862776025236593
AL,80,140,20,rs_robust,close,open,open_to_open,0.06766288691439248,0.1187491319534144,0.5697968970496291,0.2892176744707323,0.23395142443564493,0.5003543586109143,1.152402821100179,5.962145110410094,1.9326215022024034,0.5540220820189274
NI,80,140,20,rs_default,close,open,open_to_open,0.0865691054312574,0.1905601618475714,0.4542875309924632,0.3203793864597705,0.2702081004269847,0.5103986135181976,1.0877605132900625,6.64640143048726,2.089683655892969,0.5064818953956192
TA,20,140,20,rs_robust,close,open,open_to_open,0.0840864017431393,0.1883886422341731,0.44634538869183643,0.3439342453335371,0.24448394681255087,0.49387755102040815,1.1454079569129965,8.24763406940063,2.2535398794949186,0.6675867507886435
RU,60,140,20,rs_default,close,open,open_to_open,0.0555447717394848,0.1868375665681665,0.29728909854549856,0.3329590675484655,0.1668216220944327,0.49121405750798725,1.1446034283928683,6.856466876971609,1.722888496146309,0.49014195583596215
