symbol,strategy_mode,param_label,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio,param_count
CU,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.055601939806003475,0.08472843896048764,0.656237037860841,0.11160295881722604,0.49821205813247,0.5094671950682519,1.1154254811760356,6.23955047318612,1.7238277636991013,0.8970820189274448,24.0
RB,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.059674150272748694,0.10795258754832215,0.5527811016668509,0.1975402006718544,0.30208610738366576,0.5061898211829436,1.1076286543781335,6.2064274447949535,1.791932501074318,0.8568611987381703,24.0
J,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.05827723187019429,0.13238261518858846,0.44021816450123924,0.30982682187529653,0.18809614841432462,0.48703170028818443,1.180622903528239,7.76320977917981,1.76830183138556,0.8111198738170347,24.0
AL,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.03168820620941215,0.07848783628637979,0.4037339759729253,0.19527773328861853,0.1622725012000078,0.5069351230425055,1.0680265836768341,5.920741324921136,1.3688153891318458,0.8911671924290221,24.0
ZN,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.037609943837482396,0.10306767278640405,0.3649053366657914,0.1901453372635873,0.19779577232202095,0.49825632083696597,1.0968643837767689,6.4217271293375395,1.4499709151810072,0.9033911671924291,24.0
JM,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.032677998813354536,0.1336658667630388,0.24447526960106944,0.2727440289220123,0.1198119678091959,0.48740671641791045,1.1274196372515566,8.144124605678234,1.3820886698369004,0.8391167192429022,24.0
V,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.005754204019271736,0.0875049529390341,0.06575860938158287,0.2137766667028861,0.026916894664042637,0.5006772009029345,1.019242229503726,6.065654574132493,1.0594410072743723,0.8884069400630915,24.0
I,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,0.0081236966079683,0.15549224462487776,0.052245027573989765,0.5127228809666251,0.015844224842575534,0.4873046875,1.082838384766733,7.875,1.0848291146485693,0.7988958990536278,24.0
NI,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,-0.0020371312298699262,0.13419506404217213,-0.015180373767173266,0.3636988853703742,-0.0056011478500831964,0.5068421052631579,0.9842338991269094,6.843540455967814,0.9820608315478608,0.8399642378185069,24.0
TA,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,-0.0035817279745675723,0.11251005726954404,-0.03183473603596796,0.2775548153837374,-0.01290457875722892,0.5051825146462371,0.9846486960930328,6.732255520504732,0.9645347707552087,0.8746056782334385,24.0
RU,ensemble,ensemble mean signal (24 params),,,,ensemble,close,open,open_to_open,-0.007374446687221425,0.13784333868222207,-0.05349875269796061,0.42626624406322755,-0.01730009539795411,0.485941893158388,1.062015764513947,6.95583596214511,0.9282189122157927,0.8422712933753943,24.0
