date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,JM1405,1003.0,1012.0,996.0,999.0,1003.0,1011.0,227108.0,243268.0,13677973600.0,1051.0,971.0
2014-01-03,JM1405,998.0,998.0,981.0,986.0,989.0,1003.0,211078.0,239652.0,12531096800.0,1043.0,963.0
2014-01-06,JM1405,983.0,996.0,982.0,986.0,990.0,989.0,181220.0,232188.0,10764483900.0,1028.0,950.0
2014-01-07,JM1405,987.0,1001.0,979.0,997.0,991.0,990.0,284394.0,236024.0,16922972100.0,1029.0,951.0
2014-01-08,JM1405,996.0,1000.0,987.0,992.0,993.0,991.0,192954.0,233252.0,11505760000.0,1030.0,952.0
2014-01-09,JM1405,990.0,1001.0,974.0,978.0,986.0,993.0,326232.0,240472.0,19302508700.0,1032.0,954.0
2014-01-10,JM1405,979.0,987.0,974.0,984.0,980.0,986.0,237622.0,242350.0,13973782700.0,1025.0,947.0
2014-01-13,JM1405,986.0,994.0,980.0,982.0,985.0,980.0,167632.0,247730.0,9914967400.0,1019.0,941.0
2014-01-14,JM1405,983.0,992.0,978.0,990.0,986.0,985.0,164938.0,247882.0,9762986400.0,1024.0,946.0
2014-01-15,JM1405,990.0,992.0,980.0,983.0,985.0,986.0,173680.0,244672.0,10264678400.0,1025.0,947.0
2014-01-16,JM1405,987.0,988.0,967.0,968.0,977.0,985.0,317382.0,270678.0,18617464700.0,1024.0,946.0
2014-01-17,JM1405,970.0,971.0,959.0,963.0,965.0,977.0,266352.0,250518.0,15426716000.0,1016.0,938.0
2014-01-20,JM1405,962.0,967.0,927.0,927.0,940.0,965.0,463128.0,263920.0,26148202600.0,1003.0,927.0
2014-01-21,JM1405,927.0,936.0,925.0,927.0,929.0,940.0,221938.0,249276.0,12376225500.0,977.0,903.0
2014-01-22,JM1405,928.0,940.0,920.0,931.0,932.0,929.0,225380.0,233414.0,12604977000.0,966.0,892.0
2014-01-23,JM1405,933.0,944.0,930.0,943.0,937.0,932.0,197202.0,219458.0,11087389700.0,969.0,895.0
2014-01-24,JM1405,940.0,959.0,934.0,951.0,948.0,937.0,394680.0,193300.0,22458559200.0,974.0,900.0
2014-01-27,JM1405,947.0,951.0,938.0,942.0,943.0,948.0,127224.0,189816.0,7200459300.0,985.0,911.0
2014-01-28,JM1405,939.0,940.0,909.0,917.0,921.0,943.0,286670.0,217878.0,15854402300.0,980.0,906.0
2014-01-29,JM1405,920.0,936.0,916.0,929.0,926.0,921.0,216182.0,177038.0,12011941700.0,957.0,885.0
2014-01-30,JM1405,926.0,933.0,924.0,928.0,928.0,926.0,77362.0,166832.0,4308494800.0,990.0,862.0
2014-02-07,JM1405,933.0,933.0,908.0,911.0,915.0,928.0,145532.0,178752.0,7994182200.0,992.0,864.0
2014-02-10,JM1405,911.0,932.0,911.0,928.0,920.0,915.0,218902.0,198318.0,12095396600.0,951.0,879.0
2014-02-11,JM1405,927.0,929.0,917.0,917.0,922.0,920.0,178888.0,218042.0,9898840000.0,956.0,884.0
