date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,-0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,-0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,0.0,1.0
2014-01-13,0.0,0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,0.0,1.0
2014-01-16,0.0,0.0,1.0
2014-01-17,0.0,-0.0,1.0
2014-01-20,0.0,-0.0,1.0
2014-01-21,0.0,0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,-0.0,1.0
2014-01-27,0.0,-0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,-0.0,1.0
2014-01-30,0.0,-0.0,1.0
2014-02-07,0.0,-0.0,1.0
2014-02-10,0.0,0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,0.0,1.0
2014-02-13,0.0,-0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,-0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,-0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-04,0.0,-0.0,1.0
2014-03-05,0.0,-0.0,1.0
2014-03-06,0.0,0.0,1.0
2014-03-07,0.0,0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,0.0,1.0
2014-03-12,0.0,0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,-0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,-0.0,1.0
2014-03-19,0.0,0.0,1.0
2014-03-20,0.0,0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,-0.0,1.0
2014-03-25,0.0,0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,-0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,0.0,1.0
2014-04-03,0.0,-0.0,1.0
2014-04-04,0.0,0.0,1.0
2014-04-08,0.0,-0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,-0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,0.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,-0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,0.0,1.0
2014-04-30,0.0,0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,0.0,1.0
2014-05-09,0.0,-0.0,1.0
2014-05-12,0.0,-0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,-0.0,1.0
2014-05-15,0.0,0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,-0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,-0.0,1.0
2014-05-22,0.0,-0.0,1.0
2014-05-23,0.0,0.0,1.0
2014-05-26,0.0,0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,-0.0,1.0
2014-05-30,0.0,-0.0,1.0
2014-06-03,0.0,-0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,0.0,1.0
2014-06-10,0.0,0.0,1.0
2014-06-11,0.0,0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,-0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,-0.0,1.0
2014-06-18,0.0,0.0,1.0
2014-06-19,0.0,0.0,1.0
2014-06-20,0.0,0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,0.0,1.0
2014-06-25,0.0,0.0,1.0
2014-06-26,0.0,-0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,-0.0,1.0
2014-07-01,0.0,0.0,1.0
2014-07-02,0.0,-0.0,1.0
2014-07-03,0.0,-0.0,1.0
2014-07-04,0.0,-0.0,1.0
2014-07-07,0.0,-0.0,1.0
2014-07-08,0.0,-0.0,1.0
2014-07-09,0.0,-0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,0.0,1.0
2014-07-14,0.0,-0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,-0.0,1.0
2014-07-17,0.0,0.0,1.0
2014-07-18,0.0,0.0,1.0
2014-07-21,0.0,-0.0,1.0
2014-07-22,0.0,-0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,0.0,1.0
2014-07-25,0.0,0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,0.0,1.0
2014-07-30,0.0,0.0,1.0
2014-07-31,0.0,-0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,-0.0,1.0
2014-08-05,0.0,0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,0.0,1.0
2014-08-12,0.0,-0.0,1.0
2014-08-13,0.0,-0.0,1.0
2014-08-14,0.0,0.0,1.0
2014-08-15,0.0,-0.0,1.0
2014-08-18,0.0,-0.0,1.0
2014-08-19,0.0,0.0,1.0
2014-08-20,0.0,0.0,1.0
2014-08-21,0.0,0.0,1.0
2014-08-22,0.0,-0.0,1.0
2014-08-25,0.0,0.0,1.0
2014-08-26,-1.0,-0.0,1.0
2014-08-27,-1.0,-0.0001,0.9999
2014-08-28,-1.0,-0.00033795201081443516,0.9995620817843867
2014-08-29,-1.0,0.013513513513513487,1.0130696774841756
2014-09-01,-1.0,0.004452054794520599,1.0175799191990025
2014-09-02,-1.0,0.011351909184726505,1.029131394029951
2014-09-03,-1.0,-0.0041753653444676075,1.0248343944724145
2014-09-04,-1.0,0.0045045045045044585,1.0294507656186866
2014-09-05,-1.0,-0.010790114862513134,1.018342873612359
2014-09-09,-1.0,0.02892561983471076,1.047799072435857
2014-09-10,-1.0,0.04255319148936165,1.0923862670075954
2014-09-11,-1.0,-0.0,1.0923862670075954
2014-09-12,-1.0,-0.0,1.0923862670075954
2014-09-15,-1.0,0.0011111111111110628,1.0936000295264927
2014-09-16,-1.0,-0.010381905821282844,1.0822463770137964
2014-09-17,-1.0,-0.0003669724770642979,1.0818492223800298
2014-09-18,-1.0,0.002567865003668346,1.0846272651374251
2014-09-19,-1.0,0.022434718646561214,1.1089605726671725
2014-09-22,-1.0,0.036869826937547034,1.1498477570619743
2014-09-23,-1.0,0.035937499999999956,1.191170410831389
2014-09-24,-1.0,0.01337115072933548,1.20709772993894
2014-09-25,-1.0,-0.011909650924024628,1.1927216173441848
2014-09-26,-1.0,0.02475649350649356,1.2222492223190204
2014-09-29,-1.0,-0.027881814398668325,1.1881706963534049
