date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,I1405,912.0,912.0,899.0,907.0,906.0,909.0,56510.0,107880.0,5121998000.0,945.0,873.0
2014-01-03,I1405,904.0,905.0,887.0,902.0,897.0,906.0,132754.0,122358.0,11912184000.0,942.0,870.0
2014-01-06,I1405,900.0,900.0,888.0,893.0,892.0,897.0,108602.0,142642.0,9695799000.0,932.0,862.0
2014-01-07,I1405,892.0,899.0,887.0,896.0,893.0,892.0,86452.0,149034.0,7728672600.0,927.0,857.0
2014-01-08,I1405,895.0,897.0,884.0,892.0,890.0,893.0,101252.0,157264.0,9019654400.0,928.0,858.0
2014-01-09,I1405,891.0,899.0,884.0,888.0,890.0,890.0,102048.0,161606.0,9087635400.0,925.0,855.0
2014-01-10,I1405,885.0,886.0,870.0,881.0,877.0,890.0,180252.0,163378.0,15817254800.0,925.0,855.0
2014-01-13,I1405,879.0,880.0,868.0,871.0,872.0,877.0,108274.0,178106.0,9442178200.0,912.0,842.0
2014-01-14,I1405,875.0,881.0,866.0,880.0,874.0,872.0,94136.0,178102.0,8229434000.0,906.0,838.0
2014-01-15,I1405,880.0,882.0,875.0,879.0,877.0,874.0,68854.0,184704.0,6044733400.0,908.0,840.0
2014-01-16,I1405,880.0,885.0,875.0,879.0,879.0,877.0,66036.0,186510.0,5810915600.0,912.0,842.0
2014-01-17,I1405,876.0,878.0,870.0,876.0,874.0,879.0,84072.0,184412.0,7348447400.0,914.0,844.0
2014-01-20,I1405,872.0,876.0,859.0,861.0,867.0,874.0,95418.0,195022.0,8281278600.0,908.0,840.0
2014-01-21,I1405,860.0,861.0,843.0,847.0,849.0,867.0,124490.0,208510.0,10575314200.0,901.0,833.0
2014-01-22,I1405,850.0,858.0,845.0,852.0,851.0,849.0,76044.0,208986.0,6472155200.0,882.0,816.0
2014-01-23,I1405,857.0,885.0,855.0,878.0,869.0,851.0,217640.0,194104.0,18925678600.0,885.0,817.0
2014-01-24,I1405,877.0,880.0,871.0,877.0,875.0,869.0,103512.0,176300.0,9066145400.0,903.0,835.0
2014-01-27,I1405,871.0,874.0,861.0,864.0,865.0,875.0,79904.0,184670.0,6918325400.0,910.0,840.0
