symbol,strategy_mode,param_label,signal_price_col,trade_price_col,return_mode,period,start,end,n_days,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
CU,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.02134569639878947,0.13064460595780705,0.16338750645153519,0.4136335211755472,0.051605334930604665,0.4795514511873351,1.1434832073126122,1.2368300558395746
CU,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.007580252975944557,0.14692539217786435,0.05159253185295626,0.26528979747610215,0.02857348095577404,0.4935897435897436,1.0555177312188293,1.0147921339505124
AL,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.04849970136983006,0.12662930558629445,0.3830053489220062,0.36204509887203906,0.13396038648481126,0.5065292096219931,1.0813624511552813,1.610604972530958
AL,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.09017632900583683,0.1503232032977804,0.5998829656869634,0.15857748263699645,0.5686578416196809,0.5014577259475219,1.1559471777247192,1.182797351131827
ZN,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.1264814861764707,0.15882591388626233,0.7963529570309669,0.21566510045971454,0.5864717374617456,0.5089531680440771,1.1601802811501896,3.3153138787615672
ZN,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.04793133251823267,0.13820699770956305,-0.3468082898302922,0.15482717184701322,-0.30957959088469467,0.47019867549668876,1.0572518281276517,0.9089115903406692
NI,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2015-03-27,2024-06-06,2237,0.015817919365899602,0.18206849162521643,0.08687894991990379,0.320566289399286,0.049343676765080446,0.4948875255623722,1.0688317350764103,1.149487801317571
NI,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.11075241391018575,0.16410771641807018,-0.6748763332251854,0.28762222526633974,-0.38506208554512233,0.45791245791245794,1.0187862555684666,0.7959347431395091
TA,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,-0.04888337556392364,0.17889965426412374,-0.27324466201456843,0.5797757769073044,-0.08431427719295558,0.4874476987447699,1.0052153097915304,0.6038870888450866
TA,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.007557078818012264,0.1786591116275432,-0.04229887157262243,0.23392891337570243,-0.032305022534239655,0.4954954954954955,1.0288048398725869,0.9853581258814064
RU,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,-0.01215878632063594,0.20294028599636915,-0.059913123020105895,0.5580706365508101,-0.02178718162952286,0.4862453531598513,1.0685138323542658,0.8841665681970203
