date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,0.0,1.0
2014-01-09,0.0,0.0,1.0
2014-01-10,0.0,-0.0,1.0
2014-01-13,0.0,0.0,1.0
2014-01-14,0.0,0.0,1.0
2014-01-15,0.0,0.0,1.0
2014-01-16,0.0,-0.0,1.0
2014-01-17,0.0,0.0,1.0
2014-01-20,0.0,0.0,1.0
2014-01-21,0.0,-0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,-0.0,1.0
2014-01-27,0.0,-0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,0.0,1.0
2014-01-30,0.0,-0.0,1.0
2014-02-07,0.0,0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,-0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-04,0.0,-0.0,1.0
2014-03-05,0.0,0.0,1.0
2014-03-06,0.0,0.0,1.0
2014-03-07,0.0,-0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,-0.0,1.0
2014-03-12,0.0,0.0,1.0
2014-03-13,0.0,-0.0,1.0
2014-03-14,0.0,-0.0,1.0
2014-03-17,0.0,0.0,1.0
2014-03-18,0.0,-0.0,1.0
2014-03-19,0.0,-0.0,1.0
2014-03-20,0.0,-0.0,1.0
2014-03-21,0.0,0.0,1.0
2014-03-24,0.0,0.0,1.0
2014-03-25,0.0,-0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,-0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,0.0,1.0
2014-04-02,0.0,0.0,1.0
2014-04-03,0.0,0.0,1.0
2014-04-04,0.0,-0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,-0.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,0.0,1.0
2014-04-23,0.0,-0.0,1.0
2014-04-24,0.0,0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,0.0,1.0
2014-04-29,0.0,0.0,1.0
2014-04-30,0.0,-0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,-0.0,1.0
2014-05-09,0.0,0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,0.0,1.0
2014-05-15,0.0,-0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,-0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,-0.0,1.0
2014-05-22,0.0,-0.0,1.0
2014-05-23,0.0,0.0,1.0
2014-05-26,0.0,0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,0.0,1.0
2014-05-30,0.0,-0.0,1.0
2014-06-03,0.0,0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,-0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,-0.0,1.0
2014-06-10,0.0,-0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,0.0,1.0
2014-06-13,0.0,-0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,0.0,1.0
2014-06-18,0.0,0.0,1.0
2014-06-19,0.0,0.0,1.0
2014-06-20,0.0,-0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,0.0,1.0
2014-06-25,0.0,-0.0,1.0
2014-06-26,0.0,-0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,0.0,1.0
2014-07-01,0.0,0.0,1.0
2014-07-02,0.0,0.0,1.0
2014-07-03,0.0,0.0,1.0
2014-07-04,0.0,0.0,1.0
2014-07-07,0.0,0.0,1.0
2014-07-08,0.0,-0.0,1.0
2014-07-09,0.0,0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,-0.0,1.0
2014-07-14,0.0,0.0,1.0
2014-07-15,0.0,-0.0,1.0
2014-07-16,0.0,-0.0,1.0
2014-07-17,0.0,-0.0,1.0
2014-07-18,0.0,-0.0,1.0
2014-07-21,0.0,-0.0,1.0
2014-07-22,0.0,0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,-0.0,1.0
2014-07-30,0.0,-0.0,1.0
2014-07-31,0.0,0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,-0.0,1.0
2014-08-05,0.0,0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,-0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,0.0,1.0
2014-08-12,0.0,0.0,1.0
2014-08-13,-0.016666666666666666,-0.0,1.0
2014-08-14,0.0,-1.6666666666666667e-06,0.9999983333333333
2014-08-15,0.0,0.0001538438133874237,1.0001521768903143
2014-08-18,0.0,0.0,1.0001521768903143
2014-08-19,0.0,0.0,1.0001521768903143
2014-08-20,0.0,0.0,1.0001521768903143
2014-08-21,0.0,0.0,1.0001521768903143
2014-08-22,0.06666666666666667,0.0,1.0001521768903143
2014-08-25,0.06666666666666667,-6.666666666666667e-06,1.000145509209135
2014-08-26,0.06666666666666667,9.197214557876698e-05,1.000237494737508
2014-08-27,0.06666666666666667,-0.0001836908744997719,1.000053760237392
2014-08-28,0.06666666666666667,-0.0005920663114268828,0.9994616620963397
2014-08-29,0.06666666666666667,-0.00015929908403026585,0.9993024487690444
2014-09-01,0.06666666666666667,-0.0003592814371257506,0.9989434179491274
2014-09-02,0.06666666666666667,-0.0006288046023145366,0.9983152777304692
2014-09-03,0.06666666666666667,0.0002160994057266367,0.9985310130687145
2014-09-04,0.06666666666666667,-2.692514808831555e-05,0.9985041274733168
2014-09-05,0.06666666666666667,0.0004175084175084128,0.9989210113514538
2014-09-09,0.06666666666666667,0.00016061031921300225,0.9990814483739556
2014-09-10,0.06666666666666667,-0.0008411776487081912,0.9982410433903445
2014-09-11,0.06666666666666667,-0.0005003380662609894,0.9977415853970322
2014-09-12,0.06666666666666667,-0.0007766196607398301,0.9969667196654751
2014-09-15,0.06666666666666667,0.00027570995312930314,0.9972415933130254
2014-09-16,0.06666666666666667,-0.00020593080724876274,0.9970362305466924
2014-09-17,0.06666666666666667,0.0004406803002134474,0.9974756047720935
2014-09-18,0.06666666666666667,0.0007661262740269533,0.9982397970406105
2014-09-19,0.06666666666666667,-0.0006762696963549031,0.9975647177161765
