symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,min_chunk,n_scales,min_segments,min_valid_scales,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
NI,80,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.0865691054312574,0.1905601618475714,0.4542875309924632,0.3203793864597705,0.2702081004269847,0.5103986135181976,1.0877605132900625,6.64640143048726,2.089683655892969,0.5064818953956192
NI,80,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.06077551249317836,0.18122161151882699,0.33536569939874106,0.32186718059377506,0.188821713295095,0.5054617676266137,1.0880795855211771,5.857845328565043,1.6883375349169722,0.4412159141707644
NI,20,140,60,rs_fast,close,open,open_to_open,6,6,2,3,0.06547234188178797,0.22884292656653452,0.2861016631106242,0.3733841801683663,0.1753484624128028,0.5014388489208633,1.086372920928726,9.350022351363434,1.7558665260096165,0.6061689763075547
NI,80,140,80,rs_default,close,open,open_to_open,8,8,2,3,0.04517440548577745,0.17904385714919221,0.2523091615934909,0.3802940141838158,0.11878810552075193,0.5030800821355236,1.07779058948653,5.632543585158695,1.480261254641935,0.426911041573536
NI,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.05170219663038145,0.23593561345104716,0.21913689024785069,0.3846376645279157,0.1344179247080185,0.5050505050505051,1.0584205733758365,10.13857845328565,1.5643786112419598,0.6030397854269111
NI,80,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.03860320590603217,0.18168979253041187,0.2124676646299248,0.3534012451191654,0.10923336133978626,0.4945382323733863,1.1025014597937062,6.08314707197139,1.3996626068742493,0.44076888690210103
NI,100,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.03561163592963901,0.173798723009513,0.20490159716357514,0.5612733023180035,0.06344794199646848,0.5120925341745531,1.028854368607219,5.857845328565043,1.3642778571260181,0.4161823871256147
NI,20,140,80,rs_fast,close,open,open_to_open,6,6,2,3,0.04392324341211862,0.22766518362934274,0.19292911947234406,0.33575069698647564,0.13082100441294955,0.5007256894049347,1.0682621993531802,8.899418864550737,1.46460521753485,0.6016987036209209
NI,20,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.042744593746057546,0.23065425679160562,0.18531890258880834,0.5252399725859038,0.08138107527424829,0.5025641025641026,1.060962862564913,9.57532409476978,1.4499911307609623,0.5936522127849799
NI,100,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.031042372945221386,0.18100454142623468,0.1715005198246486,0.5634221271614398,0.0550961196742752,0.5108055009823183,1.0235148418322084,6.308448815377738,1.3117630802155513,0.4456861868573983
NI,100,140,20,rs_fast,close,open,open_to_open,6,6,2,3,0.028556945433565906,0.17446729852520837,0.16368079104199448,0.5228214147746764,0.054620841125785316,0.5105263157894737,1.0239974982361644,6.308448815377738,1.2839579191790405,0.4152883325882879
NI,80,140,20,rs_fast,close,open,open_to_open,6,6,2,3,0.025971118100580615,0.18837441452146736,0.1378696685882515,0.4895485978154255,0.05305115409680431,0.5013357079252003,1.0511280008690098,6.421099687080911,1.2555858668720852,0.49396513187304425
NI,100,140,60,rs_fast,close,open,open_to_open,6,6,2,3,0.020333374379049474,0.15615119559983917,0.13021593783474314,0.3949442489416909,0.05148416373585799,0.51010101010101,1.0192766379399796,4.731336611533304,1.1956482017611605,0.34689316048278945
NI,100,140,40,rs_fast,close,open,open_to_open,6,6,2,3,0.022142052124627165,0.17127273899870962,0.12927948869197442,0.42364186475365795,0.0522659679479564,0.5080731969860065,1.0244963638615199,5.857845328565043,1.2145943845070863,0.40634778721502013
NI,20,140,40,rs_fast,close,open,open_to_open,6,6,2,3,0.028562904471737705,0.22371306435925786,0.1276765152430656,0.36937558352590416,0.07732753800099133,0.4938361131254532,1.0817014955079773,8.899418864550737,1.2840239541467158,0.6025927581582476
NI,20,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.025422258640603657,0.2270155950483284,0.11198463539560627,0.4838197112350461,0.0525449006112386,0.497787610619469,1.0627258852800985,8.899418864550737,1.2496357842211605,0.5909700491729996
