symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,min_chunk,n_scales,min_segments,min_valid_scales,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
RU,60,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.0555447717394848,0.1868375665681665,0.29728909854549856,0.3329590675484655,0.1668216220944327,0.49121405750798725,1.1446034283928683,6.856466876971609,1.722888496146309,0.49014195583596215
RU,20,140,80,rs_fast,close,open,open_to_open,6,6,2,3,0.05915633202550796,0.22626543915402755,0.26144660999348635,0.46553002137299004,0.12707307651402996,0.488,1.150847772435498,8.545741324921135,1.7831399716643475,0.5843848580441641
RU,80,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.04314610231080018,0.18627328013402294,0.2316279730499013,0.42678034883463034,0.101096740814368,0.4873881204231082,1.1442394754790974,6.160883280757098,1.5297348734716372,0.48264984227129337
RU,20,140,80,rs_robust,close,open,open_to_open,10,12,3,4,0.040036659182215883,0.22380230814365004,0.1788929681481118,0.513571395294133,0.07795733864672517,0.4869451697127937,1.1309652793885,8.74447949526814,1.4844614691907152,0.5985804416403786
RU,20,140,80,rs_default,close,open,open_to_open,8,8,2,3,0.04013742777666596,0.23270495295592444,0.1724820519151915,0.5792452055577368,0.06929263702410605,0.48312611012433393,1.144400351645437,9.141955835962145,1.4859095236268607,0.6593059936908517
RU,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.033019960451445174,0.2363272366488783,0.13972134959841456,0.4775285775005367,0.06914761127863193,0.48422260470453243,1.1302793504410973,9.738170347003155,1.3867013027378858,0.6798107255520505
RU,60,140,20,rs_fast,close,open,open_to_open,6,6,2,3,0.023838436848399702,0.2145932643541296,0.1110866033943202,0.40395042663637226,0.05901327310605508,0.5007645259938838,1.0605680413672685,6.2602523659306,1.267546534485754,0.514589905362776
RU,80,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.02154645964167967,0.19827005839304226,0.10867228171672232,0.4687497738968146,0.045965802740680725,0.4996203492786636,1.0573447050035834,7.055205047318612,1.2392788770396903,0.5141955835962145
RU,60,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.022640628713108235,0.21451832465022153,0.10554170022549099,0.41128916351687217,0.05504795827711968,0.4869230769230769,1.119025147323369,7.055205047318612,1.2527019838432112,0.5078864353312302
RU,100,140,80,rs_default,close,open,open_to_open,8,8,2,3,0.015394405722222393,0.1738231802825582,0.08856359489682575,0.2983778329641871,0.05159366421187901,0.4882246376811594,1.1004591769441783,5.763406940063091,1.1661889404251495,0.43257097791798105
RU,60,140,40,rs_fast,close,open,open_to_open,6,6,2,3,0.017351209331329498,0.2102061266608924,0.08254378503116003,0.44228911492456224,0.0392304688174136,0.502411575562701,1.0460922110251873,6.3596214511041005,1.1890042306780104,0.4881703470031546
RU,20,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.014641857072745346,0.22110283036715808,0.0662219341490628,0.4462237079026736,0.03281281745778263,0.4855832241153342,1.1061952513036004,8.545741324921135,1.1575201350506674,0.597397476340694
RU,100,140,20,rs_fast,close,open,open_to_open,6,6,2,3,0.008561877944147422,0.1770269712731711,0.04836482193967805,0.364089544286225,0.02351585778419552,0.4899387576552931,1.0802638209146802,5.66403785488959,1.0895836238294423,0.44913249211356465
RU,40,140,80,rs_robust,close,open,open_to_open,10,12,3,4,0.009072643917300782,0.21471577694683466,0.0422542024918236,0.4845019546817053,0.01872571169142357,0.48736462093862815,1.0936076304994042,7.850157728706625,1.0951493983500886,0.5417981072555205
RU,20,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.010554646188788652,0.2505289134187268,0.0421294534222001,0.4097861224045539,0.025756475419069388,0.48201438848920863,1.117833162951136,9.738170347003155,1.1114438902958836,0.7058359621451105
RU,100,140,60,rs_fast,close,open,open_to_open,6,6,2,3,0.005741783197872774,0.17118493655414466,0.03354140448015814,0.284377975844208,0.020190674685082927,0.48878504672897194,1.0819363274613463,5.66403785488959,1.059309345518622,0.4191640378548896
RU,20,140,60,rs_fast,close,open,open_to_open,6,6,2,3,0.005851030263794854,0.22531395001838028,0.0259683444514534,0.4769077752203663,0.012268682893859824,0.48531375166889185,1.098709877311666,8.446372239747634,1.0604678790116744,0.5847791798107256
RU,80,140,20,rs_fast,close,open,open_to_open,6,6,2,3,0.004268246415303656,0.2127491539605691,0.020062342603227142,0.5580741154560624,0.00764817126810408,0.4947049924357035,1.0579268544349192,6.657728706624606,1.0437938997614085,0.5181388012618297
RU,20,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.003088795073655559,0.23444815085150267,0.013174747006693067,0.6177720132752326,0.004999894794974186,0.4848844101956135,1.0956704568167843,9.340694006309148,1.0315228001700691,0.6589116719242902
RU,100,140,20,rs_robust,close,open,open_to_open,10,12,3,4,-0.00013454850296590326,0.17966478406142472,-0.000748886342244472,0.41535061773811666,-0.0003239395759144811,0.47850770478507704,1.1153545211071194,6.160883280757098,0.998646797514168,0.48501577287066244
RU,100,140,20,rs_default,close,open,open_to_open,8,8,2,3,-0.0016040340120462293,0.18616903643304333,-0.008616008562858563,0.3876442993928346,-0.004137901717008659,0.493730407523511,1.0480289328482513,6.558359621451104,0.9839746507285846,0.49842271293375395
RU,60,140,80,rs_robust,close,open,open_to_open,10,12,3,4,-0.0076394653492711795,0.19571651678644938,-0.039033319592575666,0.6286443158841308,-0.01215228573016996,0.48412017167381977,1.0840945959347876,6.2602523659306,0.9257279638516203,0.4554416403785489
RU,20,140,20,rs_fast,close,open,open_to_open,6,6,2,3,-0.009909323234416623,0.22881840042559712,-0.04330649640057575,0.505347352175026,-0.019608934709495714,0.47714808043875684,1.1147616133132106,8.943217665615142,0.9046385792676589,0.6411671924290221
RU,20,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.012094164883731162,0.2208122874751491,-0.05477124947175902,0.4700490473326504,-0.025729580673253035,0.4857336956521739,1.0738025184897126,8.545741324921135,0.8847488068297467,0.5753154574132492
RU,60,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.01215878632063594,0.20294028599636915,-0.059913123020105895,0.5580706365508101,-0.02178718162952286,0.4862453531598513,1.0685138323542658,6.856466876971609,0.8841665681970203,0.5264195583596214
RU,80,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.011015357864025854,0.1801134213253342,-0.061157895857905556,0.46504960227562453,-0.023686414976218595,0.4793814432989691,1.0945021432521587,5.8627760252365935,0.8945199888194557,0.4558359621451104
RU,100,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.011263056333490784,0.16610673375623086,-0.06780613933460294,0.36713813607257584,-0.030677979830633296,0.48205625606207564,1.0791412124389317,5.167192429022082,0.8922679303716019,0.40417981072555204
RU,100,140,80,rs_fast,close,open,open_to_open,6,6,2,3,-0.011682888897582067,0.17070383903614395,-0.06843952053772143,0.361173685613585,-0.03234701021403159,0.4875576036866359,1.0559839188651394,5.465299684542587,0.8884624997206682,0.42547318611987384
RU,60,140,80,rs_default,close,open,open_to_open,8,8,2,3,-0.015751285351619293,0.20468447721726346,-0.07695398090642704,0.5580706365508092,-0.028224537038843516,0.4866270430906389,1.0622545210132766,6.856466876971609,0.8523358903173467,0.5264195583596214
RU,40,140,20,rs_default,close,open,open_to_open,8,8,2,3,-0.019276083476298833,0.22639525682171727,-0.08514349526093848,0.5820165821338911,-0.03311947471603899,0.4890038809831824,1.0522925430603247,8.446372239747634,0.8221119304521345,0.6025236593059937
RU,100,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.017985968538350994,0.18449655334808612,-0.09748674548091536,0.4643722335663739,-0.03873179152039075,0.4868532654792197,1.052305707867387,5.962145110410094,0.8330603574732315,0.4637223974763407
RU,80,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.0178234446086607,0.18190530194078586,-0.09798199622824968,0.4326112788112374,-0.04119967620270404,0.47761194029850745,1.0913771524922917,5.8627760252365935,0.8344488723741076,0.4467665615141956
RU,20,140,40,rs_fast,close,open,open_to_open,6,6,2,3,-0.022193473947776043,0.22276399160957194,-0.09962774408654658,0.556243742593763,-0.03989882896351865,0.4847277556440903,1.0661968371770634,8.446372239747634,0.7978301668756389,0.5875394321766562
RU,100,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.018558481032607044,0.17935610544854502,-0.10347281452278877,0.4693731629354493,-0.03953886267494017,0.4883920894239037,1.0433913861780795,5.962145110410094,0.8281856862578764,0.45741324921135645
