date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,-0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,-0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,0.0,1.0
2014-01-13,0.0,-0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,-0.0,1.0
2014-01-16,0.0,0.0,1.0
2014-01-17,0.0,0.0,1.0
2014-01-20,0.0,-0.0,1.0
2014-01-21,0.0,0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,0.0,1.0
2014-01-27,0.0,0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,0.0,1.0
2014-01-30,0.0,0.0,1.0
2014-02-07,0.0,-0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,-0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,-0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,-0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,-0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-04,0.0,0.0,1.0
2014-03-05,0.0,0.0,1.0
2014-03-06,0.0,0.0,1.0
2014-03-07,0.0,0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,-0.0,1.0
2014-03-12,0.0,-0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,-0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,0.0,1.0
2014-03-19,0.0,0.0,1.0
2014-03-20,0.0,0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,0.0,1.0
2014-03-25,0.0,0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,-0.0,1.0
2014-04-03,0.0,-0.0,1.0
2014-04-04,0.0,-0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,-0.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,-0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,-0.0,1.0
2014-04-30,0.0,0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,-0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,0.0,1.0
2014-05-09,0.0,-0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,0.0,1.0
2014-05-15,0.0,0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,0.0,1.0
2014-05-22,0.0,0.0,1.0
2014-05-23,0.0,-0.0,1.0
2014-05-26,0.0,0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,0.0,1.0
2014-05-30,0.0,0.0,1.0
2014-06-03,0.0,-0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,0.0,1.0
2014-06-10,0.0,-0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,0.0,1.0
2014-06-18,0.0,-0.0,1.0
2014-06-19,0.0,-0.0,1.0
2014-06-20,0.0,0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,-0.0,1.0
2014-06-25,0.0,0.0,1.0
2014-06-26,0.0,0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,0.0,1.0
2014-07-01,0.0,0.0,1.0
2014-07-02,0.0,-0.0,1.0
2014-07-03,0.0,-0.0,1.0
2014-07-04,0.0,0.0,1.0
2014-07-07,0.0,0.0,1.0
2014-07-08,0.0,-0.0,1.0
2014-07-09,0.0,-0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,0.0,1.0
2014-07-14,0.0,0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,0.0,1.0
2014-07-17,0.0,0.0,1.0
2014-07-18,0.0,0.0,1.0
2014-07-21,0.0,0.0,1.0
2014-07-22,0.0,-0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,-0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,0.0,1.0
2014-07-30,0.0,0.0,1.0
2014-07-31,0.0,-0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,0.0,1.0
2014-08-05,0.0,-0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,-0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,0.0,1.0
2014-08-12,0.0,0.0,1.0
2014-08-13,0.0,-0.0,1.0
2014-08-14,0.0,-0.0,1.0
2014-08-15,-0.041666666666666664,-0.0,1.0
2014-08-18,-0.041666666666666664,-4.166666666666667e-06,0.9999958333333333
2014-08-19,-0.041666666666666664,0.00010932944606413993,1.0001051623238582
2014-08-20,-0.041666666666666664,-0.00024359349118191487,0.9998615432158185
2014-08-21,-0.041666666666666664,-1.2108883076622501e-05,0.9998494360092989
2014-08-22,-0.041666666666666664,-0.0002057912066627902,0.9996436757873814
2014-08-25,-0.041666666666666664,0.0007107063698564148,1.0003541289153501
2014-08-26,-0.041666666666666664,-0.00018382352941176405,1.0001702402887112
2014-08-27,-0.041666666666666664,0.00018301610541727556,1.000353287550843
2014-08-28,-0.041666666666666664,0.0004901960784313708,1.0008436568094463
2014-08-29,-0.041666666666666664,0.0001860119047619041,1.0010298256444183
2014-09-01,-0.041666666666666664,-0.00038614848031888005,1.0006432794984919
2014-09-02,-0.041666666666666664,0.0002838665086887839,1.000927328612686
2014-09-03,-0.041666666666666664,-0.0002112536037379431,1.0007158791074369
2014-09-04,-0.041666666666666664,0.00045746785361028736,1.0011736744527258
2014-09-05,-0.041666666666666664,-0.0,1.0011736744527258
2014-09-09,-0.041666666666666664,0.00012501250125012314,1.001298833677955
2014-09-10,-0.041666666666666664,0.0004137827264520018,1.0017131538393476
2014-09-11,-0.041666666666666664,0.0005699088145896675,1.002284038995411
2014-09-12,-0.041666666666666664,0.00029532614278376945,1.0025800396746214
2014-09-15,-0.041666666666666664,7.759155803848763e-05,1.002657831421958
2014-09-16,-0.041666666666666664,0.0001813847429519057,1.0028396982549792
2014-09-17,-0.041666666666666664,1.301270039558618e-05,1.0028527479075175
2014-09-18,-0.041666666666666664,-0.00010413412475267687,1.0027483167143585
